stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,12.39,217.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,193.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.55,16.57,0,39.23,0,0,0,0,0,0,0,0,0,276.86,0,0,0,49.09,0,0,0,0,0,0,0
 10-12,0,0,14.24,0,19.71,0,0,0,7.4,0,0,0,0,0,353.82,5.57,0,0,33.45,0,6.06,0,0,0,0,0
 14-21,0,0,1.1,10.54,0.86,0,0,0,0,0,0,0,1.04,0,6.91,0,0.87,0,1.19,0,0,1.87,1.5,2.28,0,0
 24-34,0,0,0,3.48,3.02,0,0,0,0,0,0,0,0,0,18.86,0,0,0.78,0,0,0,0.61,0.89,5.09,0,0
 36-46,0,0,0,1.3,3.58,0,0,0,0,0,0,0,0,0,50.18,0,0.57,0.67,0,0.68,0,0,0,14.15,0,0
 48-58,0,0,0,0,2.36,0,1.37,0,0,0,0,0,1.3,0,28.44,0,0,0.8,0,0,0,0,0,6.27,0,0
 60-70,0,0,0,0.83,3.77,0,0.81,0,0,0,0,0,1.89,3.41,77.56,0,0,2.43,0,0,0,0,0,7.66,0,0
 72-82,0,0,0,2.1,16.92,1.3,0,0,0,0,0.57,0,12.66,1.14,42.81,0,0,1.27,0,0,0,0,0,2.26,0.53,0.5
 84-94,0,0,0,2.02,7.33,0,0,0,0,0,0,0.83,1.54,0,37,0,0,0,0,0,0,0,0,0,0,1.97
 96-106,0,0,0,0,13.29,0,0,0,0,1.02,3.25,0,4.6,0,15.78,0,0,4.63,0,0,0,0,0,0,0,0
108-118,0,0,0,6.71,2.15,0,1.42,2.06,0,0,1.4,0,7.09,3.8,22.65,0.43,0,4.55,0,0,0,0,0,0,0,0
120,0,0,0,17.68,6.42,0,10.81,0,0,0,16.16,0,22.18,0,68.79,0,0,0,0,0,0,0,0,0,0,1.05
