stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,0,12.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0
  5-6,9.23,65.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,8.99,0,0,0,0,0,0,0,0,0,26.34,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,10.4,0,0,0,0
 14-21,0,0,0,1.05,0.86,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.79,13.29,1.27,0,0,1.86,0,0,1.59,0,1.43,3.19,0,0,1.16,0,3.47,0,0,2.13,1.57,0,0
 36-46,0,0,0,0,19.59,0,0,0,0,0,0,0,0,5.48,14.33,0,2.19,8.79,0,0.75,0,0,0,1.69,0,0
 48-58,0,0,0,0,6.66,0,0,1.46,0.5,0,0,0,0,3.04,3.71,0,1.07,3.43,0,0,2.89,0,0.38,0.82,0,0
 60-70,0,0,0,0,25.03,0,0,2.95,3.15,0,0,0,0,2.06,13.99,0,0,9.93,0,0,8.51,0,0.68,0,0,0
 72-82,0,0,0.91,0,11.25,0,0,2.87,3.08,0,0,0,0,1.93,16.68,0,1.7,5.41,0,1.08,1.19,0,0.86,0,0.75,0.71
 84-94,0.62,0,0,0,25.12,0,0,0.62,3.38,0.8,0,0,0.69,3.97,9.69,0,0,1.84,0,2.92,2.59,0,5.99,4.24,0,1.23
 96-106,0,0,0,0,49.88,0,0,0,12.38,2,0.57,0.98,0,15.47,19.89,1.63,0,8.79,0.57,4.41,3.5,0,8.52,0,0,2.52
108-118,0,0,1.57,0,46.67,0,0.61,1.1,12.28,4.03,0,0,0.53,4.66,21.53,0,0,23.24,0,6.06,5.73,0,11.08,0,0,0.92
120,0,0,0,0,57.45,0,0,0,12.71,0,0,0,1.07,2.56,38.89,0,0,9.53,0,0,0,0,7.06,0,0,0
