stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.67,23.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,35.45,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.39,0,0,0,0,0,0,7.08,0,0,0,0,0,24.8,0,0,0,0,0,0,0,0,0,0,0,70.8,0,0,0,45.96,0,0,7.32,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.03,0,0,0,0,0,0,0,0,0,18.76,0,0,0,0,0,0,0,0,0,0,0,177.79,0,0,0,63.86,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.52,11.96,0.89,0,4.34,0,2.32,0,4.26,1.14,4.75,0,0,1.87,0,0,1.76,0,7.87,0,0,7.14,123.2,15.33,10.82,1.99,9.68,0,0,2.44,11.68,0,8.68,13.81,0,0,0,0
 24-34,0,0,0,0,2.81,0,0,4.08,0,0,0,4.02,0,1.34,0,0,5.32,0,0,2.55,0,10.21,0,0.89,7.48,88.51,2.35,7.21,2.41,0,0,0,0,0,1,0,7.2,0,2.77,0,0
 36-46,0,0,0,0,0,0,0,3.96,0,0,0,7.74,0.72,3.2,0,0,6.07,0,0,0.67,0,13.31,0,0,5.06,218.36,0.57,25.71,0,0,0,0,0,0,0,0,11.39,0,0.6,0,1.48
 48-58,0,0,0,0,1.36,0,0,24.49,0,0.39,0,15.08,0,0,0.49,0,6.84,0,0.45,0,0,8.1,0,0,2.17,312.35,0,19.51,0.43,0,0,2.21,0,0,0.56,0,22.68,0,4.11,0,12.12
 60-70,0,0,0,0,0,0,0,15.9,0,0,0,44.87,0,0,0,0,6.71,0,0,0,3.86,14.98,0,1.19,0.6,705.15,0,16.5,0,0,0,2.2,0,0,0,0,30.58,0,6.26,0,2.53
 72-82,0,0,0,0,4.95,4.04,0,92.12,1.33,0,0,106.01,0,0,0,8.15,7.41,0,0.72,0,0,36.69,0,5.06,1.23,912.64,0,44.49,0.75,0,0,0,0,0,0,0,27.43,1.45,12.84,2.79,18.46
 84-94,0,0,0,0,6.83,0.81,0,63.24,1.38,0,0,61.6,0,0.74,1.76,9.23,16.89,2.66,0,0,0,37.47,0,11.8,2.2,613.79,0,13.88,0,0,0,0.97,0,0,0,0,13.47,1.68,12.05,0.77,4
 96-106,0,0,0,0,7.71,3.81,0,133.39,1.23,0,0.64,184.37,1.14,0,2.82,36.95,16.64,0,0,9.42,0,66.16,0,4.7,3.18,579.59,0,57.2,1.53,0,0.83,0,0,0,0,0,22.89,3.72,25.11,3.9,11.24
108-118,0,0,3.86,0.51,18.08,8,3.75,107.17,0,0,2.03,151.33,0,0,0.83,65.87,23.03,0,0.51,0,0,49.85,5.97,16.37,4.98,947.99,2.08,26.13,0.53,0,2.19,3.56,0.42,0,0,0,5.74,2.74,16.09,9.16,23.35
120,0,0,0,0,7.35,0,0,137.89,0,2.06,0,109.85,0,0,0,14.08,15.74,3.86,0,0,0,24.23,0,14.45,4.53,868.98,0,26.04,2.04,0,0,0,0,0,5.03,0,4.81,0,16.99,0,8.59
