stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.29,0,0,0,11.04,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.37,0,0,0,90.18,0,0,0,0,0,0,0,0,0
 14-21,0,176.16,0.86,1.91,0,0,0,0,0,2.04,0,0,0,0.85,0,1.09,85.62,4.49,0,0,34.07,0,26.34,5.39,19.12,0,0,0,0,0
 24-34,0,5.32,0.61,6.14,0,0,0,0,0,0,0,0,0,15.42,0,40.06,155.29,0.64,0,2.97,0,0,0,1.95,2.44,0,0,0,0,1.69
 36-46,0,6.12,0,6.73,0,0,0,12.38,0,0,0,0,0,66.56,0,96.38,142.56,0,0,0,0,0,0,0,3.96,0,0,0,0,0
 48-58,0,0,0,17.35,0,0.49,0,12.91,0,0,0,0,2.15,98.96,0,97.73,82.15,0,0,0,0,0,0,0,0.58,0,0,0,0,0
 60-70,0,0,0,13.76,1.6,0,0,24.75,0,0,0,0,0,169.15,0,84.81,58.76,0,0,17.55,0,0,0,0,6.26,0,0,0,0,0
 72-82,0,2.36,0,24.52,0,0,0,36.6,0.88,0,0,0,0,328.66,0,131.07,71.6,0,0,11.12,0,1.79,0,0,7.72,0,0.7,5.02,4.29,0
 84-94,0,8.95,1.08,18.99,0,1.88,1.93,12.96,0,0,0,0,0,263.1,0,102.6,24.11,0,0,16.31,0,0,0,0,0,0,0.98,6.1,4.58,0
 96-106,0,17.87,3.64,18.71,0,0,0,26.7,0,0,0,1.13,10.7,288.23,0,91.99,35.09,0.91,1.43,21.67,0,3.38,0,0,0,3.37,0,2.1,0.8,0
108-118,0,15.7,0,11.37,0,0,2.95,49.27,0,0,3.23,2.73,2.42,408.77,1.15,90.86,58.92,0,0,77.53,0,0.58,0,0,0,0,0.57,7.29,8.16,0
120,0,11.44,0,4.22,0,0,0,26.63,0,0,0,0,0,289.36,0,116.56,101.3,0,0,42.36,0,1.11,0,0,0,0,0,1.14,4.97,0
