stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,87.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.06,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,14.65,6.2,0,0,15.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,44.89,12.26,0,0,33.22,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.8,0,0,2.65,0,0,0,0,0,1.02,0,0,0,0,1.83,0,4.27,20.72,0,0,0,0,0,0,3.18,5.2,0,13.46,6.36,0,0,0,0
 24-34,0,0,0,0.61,0,15.69,0,0,0.62,0,0,0,0,0,0,0,5.88,0,3.86,57.66,0,0,0,0,0,1.74,0,5.87,0,1.52,5.63,0,0,0,0
 36-46,0,0,0.73,0,0,10.05,0,0,0,2.92,0.58,0,0,0,0,0,2.82,0.63,0.67,28.45,1.6,0,0,0,0,0.99,0,2.8,0,0,6.48,1.37,0,0,0
 48-58,0,0,0,0,0,27.18,0,0,0,2.14,0,0,0,0,0,0,2.57,0,0.85,70.59,0,0,0,0,0,0,0,3.46,0,0,1.13,0,0,0.9,0
 60-70,0,0,1.58,0,0,22.32,0,1.49,0,3.21,0,0,0,5.33,0,1.56,13.47,0,1.06,53.32,0,0,0,0,0,0,0,10.57,0,0,8.79,0.9,0,0.8,0
 72-82,0,0,0,0,0,29.56,0,0,0.56,8.77,0.76,0,0,1.64,0,9.81,11.23,1.12,3.54,80.24,0.52,0,2.41,0,0,1.56,0,5.84,0,0,13.14,0,2.94,0,0
 84-94,0,0,0,0,0,28.72,8.24,0,0,1.88,0,0,0.7,1.51,0,39.83,5.91,7.95,2.05,31.19,1.37,2.29,0,0,0,1.14,0,19.26,0,0,0.81,0,0,0.6,0
 96-106,0,0,0.68,0.63,1.78,13,0,0,0.77,7.61,0,0,0.68,0,0,61.48,8.16,0,0.79,60.08,0.57,0,0,0,0,0,0,11.61,0,0,2.37,0,0.87,2.69,0.86
108-118,0,0,2.22,1.38,7.37,16.23,0,0,5.69,4.62,0,0,0,0,0.81,88.22,16.51,0,12.14,107.49,0,0,0,0,0,8.79,0,9.23,0.44,0,0,0,0,0,1.25
120,0,0,5.55,5.08,4.94,20.73,0,0,0,5.21,1.12,0,0,0,0,50.82,69.51,8.06,28.61,72,0,0,0,0,5.9,0,0,3.44,0,0,0,0,1.54,0,0
