stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,113.55,2676.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,70.49,378.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.29,0,0,0,8.83,0,148.16,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.45,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,4.23,0,28.06,18.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.5,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.39,0.91,0,1.86,0,0,0,3.45,0,1.85,1.1,0,1.34,0,0,0,1.84,0,0,0,50.12,3.04,3.99,1.78,0,0,21,0,0,0.9,5.97,2.25,25.8,0,0,0,0,0
 24-34,0,0,0,0,10.92,0,0,11.24,0,0.71,0,4.18,0,1.5,4.33,0,4.64,0,0.86,0,8.18,0,0,4.27,257,6.46,9.18,5.44,0,0,64.18,0,0,1.39,1.89,1.55,44.99,0,0,31.09,0,0
 36-46,0,0,0,0,2.45,0,0,30.56,0,0,0,13.27,0.72,0,1.47,1.53,0,0,3.2,1.42,15.02,3.36,1.72,0,245.21,15.49,12.78,1.66,0,0,159.72,0,1.05,3.76,0,0,55.1,0,0,22.33,0,0
 48-58,0,0,0,0.43,9.75,0,0,73.6,3.2,1.55,1.33,35.96,0,0,1.09,0.52,5.43,0,3.8,0,23.9,3.35,0.37,3.9,157.96,5.66,13.46,0.44,0,0,76.95,0,0,0,0,0,69.84,0,0,21.58,0,0
 60-70,0,0,0,0,9.17,0,0,129.83,8.56,0.63,0,70.28,1.71,0.89,0,1.09,0,0.62,2.72,0.69,18.58,7.49,4.94,8.99,146.35,3.68,4.11,3.25,0,0,98.72,0,0,0,0,0,19.34,0.77,1.31,16.75,1.63,0
 72-82,0,0,1.47,0,15.52,0,0,122.82,1.17,6.24,0,58.84,6.74,0,2.14,1.58,1.3,0.65,2.98,1.57,31.1,1.15,3.96,1.57,73.04,0,8.91,2.16,0,0,58.99,0,0,0,0,0,17.43,2.86,1.73,59.7,3.5,10.74
 84-94,0,0,0,0,27.91,2.12,0,89.53,1.37,2.56,0,65.24,4.78,0,2.51,2.41,7.28,0.79,3.06,1.29,23.18,4.55,10.81,1.19,53.86,5.79,3.39,7.46,0,1.75,189.16,0,0,0.66,0.73,0,4.46,3.14,0,80.43,0,0
 96-106,0,0,0,0,28.41,15.07,0,117.75,5.66,5.46,1.12,38.18,9.1,0,0,4.1,7.39,0,8.59,16.3,21.63,12.02,3.15,2.14,76.18,2.19,9.83,6.03,0,1.36,177.07,0,0,2,0,0,35.4,4.1,1.03,68.2,3.38,0
108-118,0,0,0,0,29.52,0.59,1.03,103.91,0.69,7.27,0,69.08,13.29,0,0,4,9.13,4.7,3.37,11.42,20.08,9.54,3.08,0.55,83.94,0.56,7.53,5.16,0,8.56,157.47,0,0,4.47,0,0,6.34,5.83,0,44.28,0,0
120,0,0,0,0,35.09,10.07,2.6,113.06,1.23,4.86,0,52.09,1.29,0,0,6.3,13.65,0,0,1.64,20.04,0,2.61,14.43,111.68,3.42,2.44,8.73,0,0,68.62,0,0,0,0,0,26.95,5.98,0,38.29,0,0
