stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,0,382.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.11,0,0,0,0,0
  5-6,6.34,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31,13.04,0,0,0,0,0,0,0,0
 10-12,0,0,10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.11,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0
 24-34,0,0,0,2.88,0,0,0,0,0,0,0,0,40.51,0,2.38,0,26.14,6.86,0,31.24,2.5,0,1.52,0,2.46,0,1.1
 36-46,0,0,0,27.67,0.71,0,0,0.65,0,0,0.71,0,120.43,0,1.48,1.36,6.45,40.89,0,22.25,12.73,0,0,0,6.25,0,0
 48-58,0,0,0,13.39,0,0,0,0,0,0.91,0,0,43.02,0,6.87,0,0,8.89,0,22.71,6.28,1.29,0,0,1.88,0,0
 60-70,0,0,0,54.95,1.71,0.58,0,1.83,0,0,9.73,0,80.38,0,18.77,0,1.23,13.19,0,15.67,39.66,3.17,0,0,1.1,0,0
 72-82,0,0,0,2.21,0.68,0,0,0,0,0,3.52,0,105.77,0,15.32,1.12,0,5.71,0,4.76,3.41,0.6,0,0,0,0,1.1
 84-94,0,0,0,26.21,1.25,0,8.49,1.5,0,0,6.14,0,84.22,0,4.71,0,1.54,11.37,0,11.94,1.21,0,0,0,0,0,0
 96-106,0,0,0,7.64,8.47,0,0,0,3.16,0,0.96,0,104.15,0,12.45,0,0,5.04,0,24.06,2,0,0,0,0,0,0.92
108-118,0,0,0,12.91,2.44,0,5.01,2.34,0,0,3.88,4.04,86.57,0,28.04,0,0,18.28,0,15.67,4.94,0.64,0,0.84,0,0.9,0
120,0,0,0,26.47,0,0,0,3.33,1.68,0,7.16,4.28,58.92,9.49,22.3,0,0,5.58,0,7.84,3.16,0,0,0,0,0,0
