stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,70.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.29,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,20.72,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.05,0,0,0,0,3.78,0,0,0,0,0
 14-21,0,1.24,0,0,0.87,0,0,0,0,0,0,0,0,0,20.04,0,0,0,0,0,25.13,0,3.09,0,0
 24-34,0,0.61,0,0,1.03,0,0,0,0,0,0,0,0,0,11.78,0,5.38,3.11,6.3,0,141.37,0,2,0,1.04
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.96,2.11,0,13.43,0,2.93,1.46,1.32,0,56.39,0,1.81,0,0
 48-58,0,0.56,0,0,1.21,0,0,0,0,0,0,0,0,0,17.83,0,0,9.17,0,0,27.77,1.17,0,0.42,0
 60-70,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,9.24,0,5.94,1.89,3.33,0,32.62,0,4.36,0,0
 72-82,0,0,0,0,4.35,1.27,0,1.14,0,0,0,0,0.52,0,21.31,0,1.77,13.91,0.49,0,34.87,0,0,0,0
 84-94,0,1.91,0,0,3.39,0,0,0,0,0,0,0,1.48,0,1.69,0,0,7.65,2.12,0,108.5,0,2.91,0,0
 96-106,0,1.76,12.81,0.94,5.45,0,0,0.68,2.17,0,0,0,8.4,0,8.94,0.8,1.8,5.55,1.74,0,74.2,0,0,0,0.96
108-118,0,0,0,0,0,0,0,0,1.87,0.43,0.48,0,0,2.42,17.21,0,1.1,3.45,3.5,0,67.22,0,0,0,1.69
120,0,13.65,0,0,0,0,0,0,1.71,0,0,0,0,1.1,18.4,0,1.77,6.92,2.75,0,41.76,0,7.65,0,0
