stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,15.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
  5-6,0,42.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.35,0,0,3.59,0,0,0,12.55,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,69.72,0,0,0,31.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.32,0,0,0,13.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,0.83,0,0,2.52,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,5.74,0.82,0,0,0,0,0,0,0.91,0,1.02,0,0,0,0,0
 24-34,0,0,0,1.2,0.86,0,0,11.46,0,0,0.77,0,0.67,0,0,0,0,0,2.74,8.1,0,0,4.59,51.62,2.2,0,1.56,0,0,0,0,0,0,0.62,17.85,0,1.69,0,0.76
 36-46,0,0,0,0,0,0,0,3.78,0,0,3.11,0,0,0.57,0,0,0,0,2.25,13.85,0,0.67,1.19,19.54,0,0,0,0,0,0,0,0,0,0,9.82,0,1.55,0,0
 48-58,0,0,0.54,0,0,0,0,5.47,0,0.4,3.49,0,0,1.16,0,0,0.98,0,0,15.04,0.47,0,3.41,14.26,3.12,1.1,0,0,0,0,0,0,0,0,3.12,0.44,0,0,3.42
 60-70,0,0,0,0,0,0,0,0,0,0,1.62,0,0,1.45,3.47,0,0,0,0,9.24,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.28,0,0,3.3,0,0.58,6.45,0,0,0,1.18,0,1.03,0,0,16.41,0,0.55,1.29,6.17,0,0,0,0,0,1.54,0,0,1.62,0,1.68,0,0,0,0
 84-94,0,0,0,0,3.5,0.63,0,16.97,2.83,0,3.79,0,0,0,0.6,0,0,0,0,15.56,0,4.88,3.61,8.16,1.12,0,0,0,0,3.27,0,0,0.9,0,0,1.38,0,0,0
 96-106,0,0,0,0,0,0,0,3.46,0.57,0,21.17,1.92,0,0,13.35,1.55,0,0,4.07,29.63,0,5.7,1.86,7.69,1.27,0,0,0,1.03,0,0,0,0.89,0,4.76,0,3.63,1.54,5.74
108-118,0,0,0,0,0.55,0,1.09,1.53,0.66,0,9.34,2.01,0,0,2.42,0,4.78,0.49,2.99,10.63,0,0,4.47,1.53,2.09,0,1.89,0,0,0.61,0,0,0,0,0,0,0,1.17,1.94
120,0,0,0,0,3.26,0,0,0,0,0,4.41,0,0,0,11.49,0,2.63,0,0,44.55,0,0,5.07,1.8,1.08,0,0,0,0,1.1,2.5,0,1.22,0,0,0,0,0,0
