stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,92.05,818.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.6,0,0,0,0,0,0,0
  5-6,28.87,835.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.52,12.43,0,5,0,0,11.97,0,0,0,0,9.98,0,0,0,0,0,0,0,0,163.2,5.55,0,0,28.46,0,6.03,0,0,0,0,0,0
 10-12,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.87,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.19,0,0,1.11,0,0,0,0,0,0,10.68,0,0,0,34.91,0,0,0,0,0,0,0,38.28,0,0,0,28.88
 24-34,0,0,0,0,0.65,0,5.28,0,0,3.32,0,0,0,0,0,0,44.59,0,0,9.7,121.15,0,9.14,0,0,0.7,0,1.55,55.82,0,0,0,90.04
 36-46,0,0,0,0,0,0,8.87,0,0,13.3,0,0,0.87,0,4.67,0,106.75,2.34,0,3.73,226.7,0,7.4,0,0,0,0,0,43.17,0,0,0,83.49
 48-58,0,0,0,0,0,0,21.13,0,0,10.01,0,0,0,0,4.45,0.41,40.65,1.18,0.56,0.49,175.33,0,4.78,1.22,0,0,0,0,24.32,0,0,0,162.27
 60-70,0,0,0,0,5.19,0,43.77,0,0.59,30.97,0,0,2.9,0,37.59,0,29.53,2.19,0,1.41,323.22,0,1.66,0,0,0,0,0,8.72,0,0,0.72,242.7
 72-82,0,0,0,0,0.58,0.59,88.91,0,0,36.97,0,0,0.58,0,34.02,0.92,9.44,5.67,0,0.71,368.52,0,3.91,0,0,0,0,0,15.76,0,1.57,0,104.17
 84-94,0,0,0,0,0,0,45.84,0.63,1.92,22.48,5.22,0,0,0,54.81,0,47.24,0.59,0,0,305.54,0,2.85,1.16,0,0.73,0,0,7.04,0,0,0,104.01
 96-106,0,0,0,0,0.65,0,68.01,0,0,46.93,0,0,0.86,0.72,43.39,0,9.67,3.44,0,0,294.02,0.85,5.71,0.65,0,0,0,0,5.53,0,0,1.9,101.02
108-118,0,0,0,0,0.89,5.12,51.53,0,0,29.59,0,0,0,0,68.83,0.7,18.66,9.76,0,0,437.94,0,1.35,0,0,0,0,0,5.42,0.46,0,0,51.27
120,0,0,3.73,0,0,0,30.18,1.33,0,28.27,0,0,0,0,49.37,0,2.97,0,0,0,643.05,0,0,0,0,0,0,0,17.15,0,0,0,19.28
