stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,148.99,3562.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.54,0,0,0,0,0,0,0,0,0,0
  5-6,96.81,822.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.45,0,0,0,10.04,0,8.24,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,8.06,0,0,0,0,0,8.95,0,0,0,0,0,0,0,0,0,0,0,31.48,0,0,0,13.97,0,8.05,34.76,0,0,0,0,0,0,0,0,0
 10-12,0,9.29,0,4.97,0,0,0,24.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.8,0,0,0,4.72,0,0,9.99,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.81,1.08,0,15.09,0,0,0,1.1,0.82,0,0,0,0,0,0,0,0,3.72,0,0,2.75,80.94,1.9,0,0.8,0,0,1.15,3.25,0.83,0,0,8.95,0,0,4.39,0,0
 24-34,0,0,2.76,0,5.31,0.96,0,33.99,0,1.41,0.62,3.62,0.67,0,0,0,0,0.92,1.91,0,5.44,13.96,0,0,3.15,144.35,4.13,10.06,1.32,0,0,6.82,0,0,1.16,0,38.49,0,0,20.6,0,10.17
 36-46,0,0,0,0,1.96,1.1,0,42.52,0,0,0,21.25,0,0,0,0,0,1.42,0.7,0,11.42,18.13,0,0,2.28,115.91,1.29,1.74,0,0,0,5.75,0,0,0.63,0,31.76,0,0,5.24,0,4.13
 48-58,0,0,0,0,0.42,0.46,0,77.12,1.13,0,0.48,35.59,0,0.54,0.9,3.77,0.46,0.93,0.41,0,5.64,31.7,0,1.15,2.19,106.69,11.58,3.14,1.11,0,0,0,0,0,0.68,0,25.97,0,0,10.01,0,12.21
 60-70,0,0,0.89,0,2.49,0,0,77.74,1.08,0,0.86,53.99,0,0,0,2.18,1.31,0,0,1.41,1.74,37.75,2.44,0,1.68,56.89,0.76,5.99,0.79,0,1.08,0,0,0,1.79,1.33,28.05,0,0,5.12,0,19.63
 72-82,0,0,0,0,4.59,0.52,0,72.37,1.01,0.52,5.3,75.26,0.76,0,0,14.91,0.93,3.09,1.66,0,0,70.13,0.62,3.17,8.79,114.21,0,7.95,7.44,0,1.31,3.45,0,0,0.97,1.5,12.72,0.87,1.56,8.87,0.67,13.21
 84-94,0,0,0,0,9.46,0,0,88.62,0,0,3.61,63.36,3.52,0,0,2.98,2.47,12.24,0.69,5.25,8.22,69.5,0,7.39,5.43,111.93,0,18.24,13.91,0,0,13.77,0,0,0,0,8.12,0,5.98,13.18,6.44,0.7
 96-106,0,0,0.61,0,4.09,12.3,0.94,72.35,0,0,0.8,48.57,7.52,0,0.72,7.61,0,7.64,1.51,19.36,0,81.06,0.78,1.09,3.67,91.17,0,18.21,7.62,0,0,14.69,0,0,0.73,0.68,3.43,3.5,3.32,13.03,3.83,0.58
108-118,0,0,1.58,0,6.98,1.72,0,82.12,0,1.12,3.19,65.62,2.48,0,0.89,4.58,1.54,11.02,2.75,1.11,3.4,97.71,0,1.05,7.25,130.1,1.2,14.55,7.12,0,0,3.89,0,0,1.05,1.21,7.2,0.67,0.56,10.38,5.72,0.99
120,0,0,0,0,5.06,4.96,0,41.84,0,1.17,15.29,102.02,8.73,0,10.56,5.28,1.65,0,1.07,0,0,70.33,0,0,7.62,136.55,7.78,23.21,3,0,0,9.61,0,0,0,0,4.42,7.52,0,2.12,4.16,0
