stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.88,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,20.33,0,0,0,14.88,0,0,0,0,0,0,0,0,0
 10-12,0,0,50.51,0,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28.65,0,0,9.58,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,1.19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.59,0.89,0,0,0.92,0,0.91,0.82,0,0,0,0,0,0
 24-34,0,0,0,1.31,0,0,0,1.42,0,0,0,0,0,0,0,0,1.64,0,0,0,2.07,0.59,0,0,0,0,0,0,0.78,0,0,1.04,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,10.57,0,1.54,1.66,0,1.19,0,0,8.48,0,0,1.59,0,0.65
 48-58,0,0,0,0,0,1.71,0,0.41,0.56,0,1.34,0,0,0,0,0,2.05,5.2,0,1.04,6.18,0,0,0,0,1.67,0,0,3.28,0,0,2.08,0,0.38
 60-70,0,0,0,0,0,0.96,0,0,0.95,0,2.38,0,3.75,0,0,0,0,3.26,0,2.12,3.59,0,0,0,0,2.11,0,0,4.65,0,0,0.65,0,0
 72-82,0,0,0,1.24,7.89,3.75,0,2.33,7.16,0.57,3.15,0,0,0,2.05,0,0,18.11,0.55,3.34,17.69,0,2.46,6.14,0,0.8,0,0,2.12,0,3.01,11.35,0.91,0
 84-94,0,0,0,0,0,3.04,0,0,0.8,1.3,0,0,1.66,0,2.01,0,0,12.39,0,0.85,6.95,0,0,0,0,0,0,0,4.92,0,1.27,6.44,0,0
 96-106,0,0,0,0,0,18.93,0.59,0,1.31,1.43,0,2.94,2.99,2.47,1.47,0,0,10.77,0,0.88,20.29,0,0.6,0,0,1.62,0,0,1.16,0,2.24,4.17,0.76,0
108-118,0,0,0,2.16,0,0,0,0,0,0.78,0,0,8.24,0,3.85,0.45,1.1,16.33,5.27,0.97,10.27,0,0,1.28,0,1.85,0,0,9.02,1.37,0,8.93,1.7,0
120,0,0,0,0,2.93,0,0,0,0,1.25,0,0,18.67,1.76,0,0,0,13.5,0,1.44,28.32,1.45,0,1.05,0,0,0,0,0,0,2.2,1.09,0,0
