stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature
 14-21,0,0.84,0,0,0,0,0.87,0,0,0,0,0.86,0,0,0,0,0,0,0
 24-34,0,0,0.76,0,0,0,0,1.19,0,0,0,11.06,0,0.89,0,0.73,0,0.74,0
 36-46,1.1,0,3.36,0,0,10.06,0,0.66,1.27,0,0.75,3.73,0,0,0.58,0,0,0.72,0
 48-58,0,1.52,0.96,0,1.61,0,0,0,0,0,0.58,10.94,0,0.38,0,0,0,3.87,0
 60-70,0,0,4.83,0,0,0,0,0,0,1.14,0,11.64,0,0.99,0,0,0,5.04,0
 72-82,0,5.21,11.1,0,3.66,0,0,0,5.43,0,1.1,12.96,0,3.1,0,0,0.73,0,0
 84-94,0,0,7.96,0,0,0,0,0,1.51,0,0,3.93,0,2.05,0,3.73,0.91,3.79,3.75
 96-106,0,0,2.2,0.74,4.63,0,0,0,5.04,0,0,13.97,0,0,0,0.62,0,0,1.84
108-118,0,1.95,6.3,0,0,0,0,0,11.38,0,0,16.5,0.51,0,0,0,0,1.3,0
120,0,0,0,0,2.47,0,0,0,5.64,0,0,26.64,0,0,0,0,0,0,0
