stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
 14-21,1.93,7.31,433.69,0,140.78,0,105.05,1.54,0,4.54,0,0,0,0,2.18,30.12,0,0,25.4,1313.57,0,0,1.82,10.2,0,4.53,16.82,8.03,440.09,0,63.57
 24-34,0,1.25,35.56,0,7.89,0,95.12,0,0,18.96,0,5.69,0,2.2,0,7.66,1.48,0,6.14,1516.36,0,0.82,1.35,0,1.79,0,2.63,1.66,391.49,0,184.15
 36-46,0,0,9.22,0,6.08,0,131.79,0,0,7.42,3.25,0,0,0,0,10.67,0,0,3.84,754.25,0.55,0,1.22,0,0,0,1.34,0,292.15,0,44.46
 48-58,0,4.64,1.35,0,9.42,0.41,116.29,0,0.75,3.04,0.42,0.76,0,0,0,3.58,0,0.52,0,200.89,0,0,0,0,0.43,0,2.02,0,102.66,0,27.38
 60-70,0,0.65,0,0,0.77,0,65.7,0,0,2.93,0,0,0,0,0,6.63,0,0,0,56.06,0,2.17,1.42,0,2.54,0,1.84,0,61.48,0.81,17.66
 72-82,0,10.67,0,0,4.49,0,50.76,0,0,3.01,0,0,0,0,0,3.79,0,0,0,48.28,0,1.93,0,0,0,0,21.74,0,20.08,0,35.28
 84-94,0,1.01,1.57,0,5.1,0,32.97,0,0,2.95,0,0.97,1.39,0,0,0,0,0,0,39,0,0.63,1.75,0,6.66,0,12.19,0,11.5,0,31.43
 96-106,0,0,0,0,8.74,0,32.63,0.67,0,0.61,0,9.57,1.75,0,0,0.77,0,0,0,9.03,0.57,0,1.4,0,0,0,21.64,0,10.59,14.23,30.73
108-118,0,7.56,0,1.04,10.19,0,42.8,0,0,0,0,1.4,0.67,2.92,0,6.32,0,0,1.36,30.88,0.43,1.13,1.35,0,0.66,0,15.02,0,4.28,9.91,30.19
120,0,6.06,0,0,0,0,65.9,8.33,0,5.63,0,3.26,0,0,0,0,0,0,0,51.01,0,0,3.14,0,2.41,0,11.39,0,16.55,2.73,40.85
