stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,85.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0
  5-6,34.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.37,0,0,0,18.61,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.23,0,2.66,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,1.12,4.09,0,0,0,0,0,1.05,0,0,2.66,0,0,0,0
 24-34,0,0.66,0,0,1.76,0,0,0,0,0.69,0,0.73,0,0,0,2.47,0,0,0.63,41.1,0,5.05,0,0,0,0,0,0.66,1.48,0,0,0,0
 36-46,0,0,0,0,1.72,0,0,5.07,0,0,0,0,0,0,0,2.08,0,0,0,21.97,0,3.41,0,0,0,0,0,0,4.66,0,0,0,0
 48-58,0,0,2.45,0,6.74,0,0,2.79,0,0,0,0,0,0,0,1.49,0.48,0,0.43,32.15,0,1.03,0,0,0.43,0,0,0,9.54,0,0,0,0
 60-70,0,0,5.04,0,17.04,0,0,5.12,0,0,0,0,0,0,0,4.64,0,0,0,64.17,0,1.12,0,0,0,0,0,0,10.53,0,0,0,0
 72-82,0,0,0,0,18.97,0,0,10.62,0,0,0,0.66,0,0.89,0,10.8,0,1.14,0.62,102.78,0,11.52,0,0,0.55,0,0,0,17.13,0,0,0,8.57
 84-94,0,0,0,0,17.94,0,0,20.83,0,0,0,1,0,0,0,8.53,0,2.92,3.84,71.72,0.56,1.91,1.27,0,0,0,0,0,6.58,1.24,0,0,6.87
 96-106,0,0,3.02,0,35.55,0.81,0,10.6,0.81,0,0,0,0,2.39,0,20.73,0,1.7,1.06,73.19,0,11.17,0,0,0.73,0,0,0,0.9,0,0,0.74,0.62
108-118,0,0,2.67,3.12,22.51,0.55,0.78,33.56,1.03,0,0.7,0,0.63,0,2.84,27.31,0,0,0,113.75,0,5.68,4.63,0,0,0,0,0,13.38,0,0.51,1.42,0
120,0,3.9,0,1.51,2.79,0,2.17,8.71,0,0,0,0,0,0,0,13.78,0,0,0,98.8,0,1.11,0,0,0,0,2.61,0,5.58,0,16.18,0,3.58
