stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,131.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.17,0,0,0,0,0,0,0,0,5.1,0,3.77,0,0,0,0,0,0
 10-12,0,0,0,4.67,0,0,0,0,0,0,0,0,27.95,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,12.62,1.08,0,0,0,0,28.55,1.57,2.27,0,0.83,0,196.28,0,0
 24-34,0,0,0,0,0,0,30.6,0,0,1.87,0.85,0,27.14,3.34,0,0.66,0,5.64,166.52,0,0
 36-46,0,0,0,0,8.76,1.03,19.03,0,0,2.95,0,0,16.34,0,0,0,0,0,94.74,0,0
 48-58,0,0,0,1.25,0,0,10.5,0,0,0,0.43,0.58,8.1,0,0,0,0,0,119.18,0,2.99
 60-70,0,1.13,0,4.34,0,0,37.99,0,0,0,0.99,0,14.48,0,0,0,0,0,82.8,0,0
 72-82,0,0,0,0,0,1.88,62.4,0,0,0,0,0,24.25,0,0,0,0,0,41.77,0,0
 84-94,0,0,0,2.77,0,0,45.82,0,2.24,0,1.06,0,7.11,0,0,0,0,0,71.28,0,0
 96-106,0,0,0,2.87,0,0,48.74,0,0,0,0,0,21.46,0,0,0,0,0,28.86,0,0
108-118,0,0,1.37,0,0,0,66.09,0,0,0,0.85,0,18.15,0,0,0,0,0,12.12,0,0
120,0,0,0,0,2.41,0,74.83,0,0,0,0,0,52.03,0,0,0,0,0,15.3,8.36,0
