stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.73,0,0,0,12.43,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,9.03,6.38,0,0,16.53,0,0,0,0,0,0,0,0
 14-21,0,1.88,0,0,0.92,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0.85,0,0,0,0
 24-34,0,0.68,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,6.33,0,0.99,0,0,0,0,0.91,2.73,0,0,0,0.81
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,1.08,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0.55,0,0,0,0.84,0,0,0,9.17,0,0,0,0,0,0,0,1.68,2.17,0,0,3.74
 60-70,0,0.64,0,0,0.73,0,0,0,0,0,0,0,1.67,0,0,0,0,0.66,0,74.5,0,3.89,0,0,0,0,0,0,0,1.04,19.07,0,305.74,0
 72-82,0,0.69,0,0,49.44,0,0,0,2.64,0,0,0,0,0,0,2.05,0,4.64,0.92,100.68,0,24.55,0,0,0,0,0,0,0.54,5.67,38.22,4.32,1087.44,7.89
 84-94,0,2.27,9.19,0,29.35,0,0,0,0,0,0,0.8,0,0,0,0,0,18.1,0,150.58,0,14.65,0,0,0,0,0,0,0.89,0,32.08,1.8,1723.32,0
 96-106,0,1.57,0,0,19.85,1.43,0,1.52,0.75,1.87,0,0.99,0.66,1.47,1.66,0,6.67,15.31,0,126.95,8.48,33.93,0,0,0,0,0,2.14,0,0,36.06,0,2664.24,8.09
108-118,0,1.11,1.94,2.55,72.89,1.4,0.55,0,6.23,0,0,0,0,2.87,0,0,0.89,16.79,0.77,116.05,0.5,46.11,11.03,0,0.44,0,5.44,0.69,0,0,31.82,2.73,1870.49,0
120,0,0,2.29,0,9.08,0,0,0,11.64,0,0,0,0,0,1.05,0,1.37,10.06,0,235.8,6.59,57.27,0,0,0,0,10.15,1.32,0,0,112.14,0,2556,0
