stage,axial,blastomeres,epidermis,eye,fin_epithelia,gut,immune,lateral_line,mesenchyme,mucous,neural,periderm,spinal_cord,visceral_smooth_muscle
  5-6,16.71,10.07,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,12.92,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.69,0,2.59,0,0
 36-46,0,0,1.03,0,0,0,0,0,0,0,13.54,0,0.63,0
 48-58,0,0,0,0,0.8,0,0,0,0,0,15.2,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,23.88,0,0,0
 84-94,0,0,0,0,0,0,0.61,0,0,0,25.48,0,0,0.77
 96-106,0,0,0,0,0,0,0,0,1.51,5.46,9.28,2.96,0,0
108-118,0,0,0,1.86,0,0.62,0,0,0.81,0,4.17,2.07,0,0
120,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0
