stage,epidermis,erythrocytes,eye,gut,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,visceral_smooth_muscle
 14-21,0,0.94,1.57,0,0,1.91,5.57,0,0,2.64,1.9,6.39,0,0
 24-34,0,0,0.69,0,1.06,0,8.37,0,2.17,0,0,1.32,0,0
 36-46,0,0,1.05,0,0,0.9,1.07,0,0,0,0,1.33,0,0
 48-58,0,0,0,0,0,0,4.12,0,0,0,0,1.03,0,0
 60-70,0,0,0,0,0,0.65,0.99,0,1.41,0,0,0,0,0
 72-82,0,0,15.36,0,0.99,0,3.43,0.95,0,0,0,0,0,0
 84-94,0,0,3.72,0,2.43,0,9.06,0,0,0,0,0,0,0
 96-106,0,0,8.83,0,0,0,2.84,0,0,0,0,0,1.02,0
108-118,4.08,0,1.73,0.53,0,2.12,4.49,0,0.5,0,0,0,0,0.62
120,4.97,0,3.69,0,0,0,0,0,1.53,0,0,0,0,0
