stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,7,0,19.02,0,4.74,0,26.87,0,0,0,0,0,6.08,0,0,0,0,11.2,0,0,0,0,0,234.52,7.98,0,0,28.92,0,0,19.48,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.54,0.98,0,0,0,0,0,0,2.55,0,0,0,0,0,681.05,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0
 24-34,0,1.41,3.65,4.06,0,0,2.07,0,0,1.23,0.9,1.6,0,1.78,0,0,0,1035.61,0,5.16,0,0,3.87,25.52,0,0,0,0,0,1.08,0,0,6.26,8.71,0,0,0,0,0
 36-46,0,0,0,1.16,0,0,2.28,0,0,0,3.93,3.54,0,0,0,0,0,513.28,0,2.63,0,0,0,19,0.56,1.39,0,0,0,0.7,0,0,0,14.87,0,0,0,0,0
 48-58,0,0.46,0,0,0,0,0,0,0,0,0.85,3.2,0,0,0,0,0,275.2,1.1,0.39,0,0,0,29.81,0,0,0,0,0,0.41,0,0,0,7.07,0,0,0,0,0
 60-70,0,1.48,0,2.63,0.58,0,7.53,0,0,0,0,28.34,0,0,0,0,0,255.25,0,0.75,0,0,0,22.94,1,1.9,0,0,0,0,0,0,0,1.37,0,0,0,0,0
 72-82,0,10.37,0,0,1.24,0,9.86,0,0,0.62,4.99,161.38,0,0,0,0,3.49,302.7,0,8.28,0,0,0,63.45,0,0,0,0,0,1.01,0,0,0,0,0,0,2.19,0.93,9.65
 84-94,0,0,0,1.18,2,1.54,27.65,0,0,1.02,2.72,291,0,0,0,0.75,0.65,529.45,0,8.27,0,0,2.8,45.06,0,2.29,0,0,0,15.86,0,0,0,0,0,0,1.8,0,0
 96-106,0,20.97,0,6.32,31.97,0,58.51,0,0.59,3.85,3.15,786.11,0,0,6.83,0,0,1009.29,0,46.64,2.26,0.66,1.48,247.91,0,1.51,1.65,0,1.51,11.93,0.58,0.7,0,0,0,0,1.41,2.02,0
108-118,0,10.03,0,15.52,5.92,0,48.96,0.44,0.58,0.87,15.24,1119.87,0,1.9,6.27,0,1.26,1679.18,5.3,24.09,0.8,0,3.11,224.94,0.47,0,0.87,0,1,25.29,0.66,0.56,0,0,1.01,1.46,3.79,0,0
120,0,19.16,0,0,2.17,0,11.81,0,4.94,0,26.34,732.2,0,0,0,0,8.53,847.92,0,9.6,0,0,0,161.55,0,0,1.51,0,0,5.22,0,0,0,0,0,2.2,0,0,0
