stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,10.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0,0,0,0,0
  7-9,5.63,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,26.32,14.2,0,0,0,0,0,0
 10-12,0,0,14.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.92,0,0,0,0,0,0,0,0,0,0,3.94,0,1.08,1.79,0,0,0,0,0,0,0
 24-34,0,0,1.74,0.6,0.93,0,1.17,0,0,0,0,0,0,0.89,0.64,4.8,0,0,0,2.17,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.47,0,5.9,0,0.76,1.23,0,4.31,0,0,0,0,0,0,0
 48-58,0,0,0,6.32,0,0,0,0,0,0,0,0,1.98,0,1.76,11.94,0,0,0,0.67,0,0,0
 60-70,0,0,0,6.71,0,0,0,0,0,0,0,0.78,4.5,0,0,5.25,0,0,0,1.45,0,0,0
 72-82,0,0,0,0.57,0,0.67,0,0,0,2.38,0,0.78,1.19,2.52,0,12.65,0,0,0,0,0.83,0,0
 84-94,0,1.44,0,1.03,0,0,0,0,2.32,2.27,0,0,3.38,0,0,16.99,0,0.82,0,0,0,0,0.78
 96-106,0,0,0,1.57,0,0,0,0,2.01,12.45,0,0,1.48,0,0,10.85,0,0,2.63,0,0,0,0.56
108-118,0,0.69,0,1.26,0,0,0,0,4.76,7.08,0,2.95,6.18,3.97,0,3.75,0,0,0,0,0,0.46,0
120,0,1.58,0,0,0,0,0,0,0,26.91,0,0,8.44,5.52,6.66,13.94,0,0,0,10.24,0,0,0
