stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0.89,0.91,0,0,0,0,2.04,2.5,0.81,0,3.34,2.98,0,0,2.48,1.15,8.04,0,4.28,0,0
 24-34,0,0,2.83,0,0,0,0,0,1.23,2.3,0,0.63,6.91,0,0,0,0,0,0,0,0,0
 36-46,16.99,0,1.33,0,0,0,0,0,3.4,11.68,1.42,0,5.76,0,0,0,0,0,0.58,2.09,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.99,0.4,0.4,2.74,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.83,0,0,0,0,0,5.73,0,0,5.08,0,0,0,2.58,0,0,0,0,0
 72-82,0,0,0,0,0.55,1,0,0,0,2.12,0,0.82,6.38,0,0,0,0,0,0,0,0,0
 84-94,0,0.63,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,1,0,0,3.9,0,0
 96-106,0.72,0,1.03,0,0,3.96,0,0,0,3.15,0,0,2.8,0,0.77,0,0,0,0,0,0.61,0
108-118,0,0,1.36,0,0,0,0,0,0,2.76,0,0.76,1.26,0.48,0,0,2.54,0,0,3.65,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91
