stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.29,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.62,0,0,0,15.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,89.42,0,39.95,0,0,10.38,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,719.92,11.66,0,0,360.44,0,0,0,0,9.97,0,3.87,0,0,0,0,0,0
 14-21,0,1.05,2.58,47.3,2.16,7.9,0,0.82,0,16.82,7.97,0,0,0,0,0,0,0,0,58.37,0,0,52.21,616.43,7.86,0,0,17.06,0,0,0,60.46,3.11,1.15,61.38,180.21,0,0,0,0,0
 24-34,0,0,0,32.55,0.92,7.75,1.89,2.12,0.68,19.77,1.33,0,6.6,0,0,0,0,0,0.69,64.88,1.24,0,41.92,1267.16,1.24,0,0.95,0,0,4.22,0.98,0,2.85,2.88,16.54,184.56,0,0,5.1,0,0
 36-46,0,0,0,5.66,0,4.35,0,0.88,0,15.75,0,0,0,0,3.08,0,0,0,0,45.38,0.58,0,14.02,1100.14,4.59,0,0,0,0,24.03,0,0,0,0.58,0,186.55,0,0,7.48,0,0
 48-58,0,0.46,0,3.37,0,25.82,0.95,6.13,2.07,34.94,0,0,0.78,0,1.36,0,0,0,2.84,38.63,1.22,0,6.65,656.53,0,0,0,0,1.94,10.84,0,0,1.86,0,0,214.65,0,0.51,2.37,0,6.99
 60-70,0,0,0,18.13,0,22.11,2,0,2.75,103.61,5.38,0,0,5.52,0,4.01,6.72,5.1,0,79.68,0.73,1.04,1.67,632.57,0,0,0,0,1.74,39.84,0,0,1.27,1.41,0,144.94,0,0,2.89,0,5.22
 72-82,0,0.93,0,21.24,0.58,54.85,0,0,0.81,181.35,2.52,0,2.91,0,2.45,3.71,5.63,0.96,1.45,138.86,1.16,0.7,2.11,596.93,0,0,0,0,0,10.84,0,0,0,0,0,98.82,1.36,4.03,17.76,0,25.33
 84-94,0,0.66,0,20.78,0,45.33,0.56,0.56,6.46,144.41,3.06,0,0,0,7.24,0.55,3.35,0,10.81,167.86,0,0,1.64,468.71,0.57,0,0,0,0,63.96,0,0,0,0,0,68.2,1.01,0.56,1.27,5.56,15.78
 96-106,0,1.1,0,28.13,0,37.34,0,6.06,0,153.36,1.58,0,0,0,15.11,1.36,6.18,6.49,4.95,191.59,1.96,0,0.61,356.53,0.57,0,0.94,0,0,27.44,0,0,0.62,0,0,41.99,0,1.26,11.94,0.8,31.44
108-118,0,3,0,27.73,0,33.2,1,3.34,0,178.32,2.92,0,0,1.17,12.76,2.16,5.33,0,7.33,130.26,3.69,2.87,3.67,400.57,1.8,1.39,1.46,0,0,20.82,0,0,2.36,0,0,13.04,0,2.26,5.6,1.3,12.25
120,0,0,0,16.13,0,24.3,15.17,2.85,0,105.52,1.67,0,2.09,0,7.9,1.91,4.2,3.74,0,101.1,0,2.03,5.61,373.66,1.37,4.78,3.16,0,0,4.03,0,0,1.26,0,0,33.79,0,0,0,8.42,0
