stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,32.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.11,0,0,0,202.64,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,263.37,2,0,1.43,0,28.04,0,124.93,0,0,1.92,0,0,0,0,0,0.84,7.62,1.71,0,3.05,475.56,123.34,0,0,7.5,0,2.13,3.7,0,0,2.74,1222.56,0,0,6.42,0,0
 24-34,0,0,3.49,759.26,0,0,51.6,0,53.14,0,357.96,1.64,4.19,5.51,5.14,0.98,0,8.84,0.95,5.43,227.58,5.23,1.21,54.17,2448.01,501.03,8.04,11.25,0,0,180.07,0,0,0,12.59,1801.94,0,0,9.24,0,8.12
 36-46,0,0,3.14,394.48,0,0,65.88,0,18.46,0,1809.45,0.72,0,6.36,0,3.21,0,5.91,9.02,5.69,631.83,2.14,0.89,40.95,3090.42,743.36,1.64,48.45,0,6.77,209.3,0,3.4,0,0,2003.58,0,11.99,7.22,0.78,0
 48-58,0.77,0,0,319.04,0.93,0,187.79,0,15.06,1.33,3706.84,0.57,0,0.39,2.81,3.05,0,5.08,0,0,1629.78,5.74,4.77,35.19,1416.84,579.72,0.86,199.96,0,0,63.3,0,4,0,0,1765.8,0,26.87,3.34,1.29,0
 60-70,2.52,0,0,157.53,0.81,0,134.39,0,34.46,1.99,2960.35,1.05,0,0,14.41,9.02,0,6.09,9.67,0,4832.37,0.86,21.96,63.91,408.99,168.28,0,187.4,0,32.02,51.82,0,0,0,0,360.94,4.44,51.49,0.73,3.13,6.85
 72-82,0,0,0,138.64,3.02,0,313.93,1.24,6.71,5.24,3423.03,8.63,0,0,8.7,17.56,2.2,1.57,7.61,0,7763.83,2.46,74.28,47.64,355.84,105,2.83,414.44,0,62.79,11.9,0,0,0,0,131.58,14.2,201.43,22.87,31.69,9.63
 84-94,0.62,0,0,162.16,6.69,1.22,278.48,0,29.44,7.7,2562.18,8.53,0,0.78,1.79,35.41,4.6,4.57,1.21,20.7,7682.62,0,89.1,24.5,233.68,162.24,1.78,293.25,0,58.42,33.09,0,0.7,0,0,163.38,8.04,98.47,7.8,12.25,14.4
 96-106,0,0,0,127.83,5.49,0,270.44,0.67,31.59,10.07,2521.7,15.97,0,0,9.99,32.61,3.87,11.22,8.17,0.75,3768.25,0,34.13,61.5,246.67,112.05,2.02,414.67,0,84.62,27.02,0,0,0.6,0,40.76,16.76,172.83,26,10.91,0.63
108-118,0.67,0,0,47.51,0.96,0.72,163.4,0.67,49.21,9.33,2242.29,22.58,0,0,11.6,30.29,1.66,7.43,5.69,0,3187.48,0,57.77,36.27,278.11,138.62,0.77,337.86,0,142.95,2.28,0,0,0,0,61.87,21,112.45,18.85,14.9,7.43
120,2.23,0,0,64.48,1.36,0,194.63,0,27.4,11.76,2571.52,4.57,0,0,12.1,24.83,0,12.4,49.07,0,2015.04,0,35.25,12.47,261.52,151.76,10.22,173.65,0,29.33,8.5,0,0,0,0,20.45,0,199.15,6.42,15.54,0
