stage,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,1.46,0,0,0,0,3.77,2.24,0,0,0
 24-34,0,0,1.99,0,0,0,0,3.16,0,5.34,0,18.53,0,1.12,0,0,0,2.43,0,0,3.69,0,0,0
 36-46,0,0,11.57,0,2.01,0,0,0,0,1.42,2.51,16.35,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,5.91,0,1.08,0,0,0,0,0.94,0,27.64,0,0,0,0,2.32,0,0,0,3.67,0,0,0
 60-70,0,0,15.28,0.66,2.89,0,0,0,0,20.47,0,25.44,0,0,0,0,1,0,0,0,2.18,0,0,2.08
 72-82,8.61,0,8.59,0,2.09,0,0,0,0,1.65,0,19.45,0,0.56,0,0,0,0,1.07,0,0,0,0,0
 84-94,1.1,0,13.79,0,3.24,0,3.73,0,0,1.51,0,14.25,1.04,0,0,0,0,0,0,0,0,0,0.59,0
 96-106,1.11,0.59,22.57,0,0.63,0,0,0,0,3.42,0,17.76,0,0,0,1.37,0,0,0,0,0,0,0,0
108-118,0,0,10.44,0,5.45,1.23,0,0,0.75,2.05,0,3.85,0,0,0,0,0.67,0,0,0,6.36,2.41,0,0
120,0,0,7.37,0,0,0,0,0,0,1.99,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0
