stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  5-6,0,12.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,0,0,0,0,3.29,0,0,0,0,0,0,0,0,6.98,0,0,13.5,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,5.86,2.77,0,0,0,0,11.79,0
 36-46,0,0,0,0,0,0,0,0,10.32,0,0,0.68,0,0,28.32,0,0,0,0,0,9.56,0
 48-58,0,0,0,2.15,0,9.95,0,0,0,0,0,0,0,0,65.17,0,0,0,0,0,6.81,0
 60-70,0,0,0,0,0,91.31,0,0,2.54,0,0,0,2.89,0,164.13,0,0,0,0,0,12.85,0
 72-82,0,0,0,1.73,0,96.49,0,0,9.85,0,0,0,4.27,0,160.69,0,1.19,0,0,2,17.38,0
 84-94,0,0,2.22,0.69,0,47.52,1.13,0,9.31,0,0,0,1.61,0,117.12,0,0,0,0,0,11.49,0
 96-106,0,0,0.63,1.96,1.23,110.47,0,11,15.68,0,0,1.05,2.63,0,109.78,0,0,0,3.98,0,9.21,0
108-118,0,0,0,1.58,2.28,154.65,0,0,26.92,1.24,0,0.69,13.11,1.21,139.8,0,0,0,0,0,8.15,1.11
120,0,0,0,0,1.53,133.15,0,0,18.45,0,1.91,2.6,0,0,360.47,1.33,0,0,0,0,20.25,0
