stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,264.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.99,242.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.04,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,44.53,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0
 24-34,0,0,0,0,0,0,0,6.98,0,0,5.71,1.32,0,0,0,0,0,0,0,0,0,0,0,9.25,1.07,0,0,0,0,0,0,20.38,0,0.59,0,0,0,0
 36-46,0,0,0,0,0.63,0,0,4.17,0.62,0,13.46,2,0,0,0,0,0,0,0,2.98,0,0,0,3.37,0,0,0,0,0,0,0,62.01,0,0,0,0,0,5.9
 48-58,0,0,0,2.58,12.97,0,0,10.98,0,24.61,7.52,0.78,0,0,0,0.48,1.45,0,13.92,18.16,0,0,0.8,11.51,0,0,0,0,0,0,0,26.44,0,2.16,0,0,0,0
 60-70,0,0,0,4.93,0.96,0,0,27.87,1.98,19.03,14.01,15.03,0,0,0,0,2.62,0,10.1,82.77,0,0.64,0,12.7,0.62,0,0,0,0,10.81,0,14.58,0,4.12,0,0,0,0
 72-82,0,0,0.53,9.93,2.19,0,0,36.08,4.2,44.34,33.18,26.16,0,0.86,0,0,14.77,0,76.03,246.45,0,0,6.53,34.68,3.25,0,0,0,0,1.5,0,35.94,0,11.12,1.6,1.22,0,0
 84-94,0,0,0,11.44,0.74,0,2.89,32.41,11.97,18.93,21.09,79.59,0,0,0,0,24.18,0,275.43,203.9,0,0,8.83,16.59,6.09,0,0,0,0,0,0,75.3,0,2.43,0,0,0,0
 96-106,0,0,2.73,7.59,2.52,0,0,48.1,13.28,32.48,43.48,71.05,0,0,1.6,0.81,48.12,0,389.46,339.61,4.41,3.64,8.47,112.56,8.98,0,0.85,0,1.51,4.04,1.35,45.08,0,8.46,0.68,4.15,2.31,0
108-118,0,0,1.49,39.07,12.21,7.12,0.58,34.02,2.6,20.25,21.81,74.24,0,1.35,0,0.74,62.19,0,730.83,545.76,0,0.65,3.32,109.15,12.19,1.56,3.17,0,0,1.53,0,50.77,0.47,9.41,0,0,3.06,0
120,0,0,1.37,4.21,1.6,0,1.6,32.77,1.05,24.77,19.68,44.88,0,0,1.11,0,13.02,1.62,273.9,292.41,0,0,13.41,41.45,14.57,0,0,0,0,0,0,32.19,0,0,0,0,0,0
