stage,erythrocytes,lateral_line,neural,olfactory,spinal_cord,vasculature
 24-34,0,0,0,0,1.11,1.26
 48-58,0,0,1.09,0.64,0,0
 60-70,0,0,1.65,0,0.7,0
 72-82,0,0,1.3,0,0,0
 84-94,1.42,1.43,1.03,0,0,0
120,0,0,1.06,0,0,0
