stage,epidermis,eye,immune,ionocyte,mesenchyme
 24-34,0,0,0,0.69,0
 60-70,0,0.99,0,0,0
 96-106,0,0,6.02,0,0
108-118,0.51,0,9.11,0,0
120,0,0,3.59,0,4.77
