stage,blastomeres,glial,mesenchyme,neural
  5-6,11.33,0,0,0
 36-46,0,1.37,0,0
 48-58,0,0.45,0.44,0
 72-82,0,0,0,0.99
 84-94,0,0.86,0,1.22
108-118,0,1.75,0,1.51
120,0,5.02,0,2.11
