stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  5-6,10.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,8.31,0,0,0
 24-34,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,122.16,0,10.6,0,0,0.94,58.87,0,0,0
 36-46,0,0,0,0,9.44,0,0,0.99,0,0,0,0,0,0,0,0,0.6,497.43,0,9.65,0,0,0,127.99,0,0,3.81
 48-58,0,0.42,6.31,0,62.93,7.59,0,2.29,0,0,0,0,0.65,2.27,0,0,1.11,790.9,5.29,9.53,0,0,0,155.59,0,0,0
 60-70,0,0,3.55,0,347.74,0,0,9.59,0,0,0,0,0,0,0,0,1.7,1138.39,1.73,1.72,0,0,0.75,185.12,0,0,0
 72-82,0,0,3.31,1.27,468.71,0,0,8.11,0,0,0,0,0,4.78,0,0.55,0.56,1241.53,0,11.31,0.75,0,0,145.31,0.82,0,0
 84-94,0,0,10.67,0,337.15,0,1.27,6.55,0,0,0,1.29,0,13.38,0,0,0,916.58,0,7.14,0,0,0,64.84,0,2.12,0
 96-106,0,0,5.58,2.02,398.22,0,0,15.92,1.02,1.56,0,0,0,6.12,0,10.96,0,798,0,23.41,1.11,0,0,52.57,1.59,0,0
108-118,0,0.57,2.23,1.29,308.56,0,0,10.51,0.45,0,0.62,5.15,0,5.8,1.27,0,0.92,844.71,0.69,8.78,0,0,2.07,23.89,0,0,0
120,0,0,9.25,0,376.53,0,0,14.35,0,0,0,0,0,1.64,0,0,1.86,1607.8,0,5.77,1.4,0,0,92.13,1.37,0,0
