stage,epidermis,eye,glial,ionocyte,mesenchyme,neural,olfactory,periderm,presomitic_mesoderm,spinal_cord
 14-21,1.09,0,0,0,0,3.01,0.83,0,1.14,1.34
 24-34,0,1.34,0,0,0.95,19.39,0,0,0,5.31
 36-46,0.94,0,0,0,0,18.6,0.93,0,0,3.84
 48-58,0,2.05,0.43,0,0,56.09,0,0,0,5.07
 60-70,0,9.06,0.78,0,0.98,107.56,1.56,0,0,26.31
 72-82,0,4.06,0,0,0,103,0,1.93,0,5.26
 84-94,1.27,10.06,0.93,0.89,0,79.08,0,0,0,11.87
 96-106,0,6.76,0,0,0.98,46.23,1.96,0,0,4.31
108-118,0,12.79,0,0,0,90.97,0,0,0,2.76
120,3.56,3.78,3.86,0,0,61.2,0,0,0,19.61
