stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,46.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,143.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0
  7-9,3.82,0,0,0,19.08,0,0,0,0,0,0,0,0,0,0,0,0,0,54.05,4.84,0,0,28.93,0,0,0,0,0,0
 10-12,0,0,0,0,11.67,0,0,0,0,7.6,0,0,0,0,0,0,0,0,239.65,0,0,0,22.44,12.44,0,0,0,0,0
 14-21,0,0,2.41,82.4,1.3,0,0,2.22,0,0,0,0,0,1.41,0,0,0,1.1,31.55,0,0,0,0,19.05,4,0,0,6.49,0
 24-34,0,0,0,4.8,1.9,0,0,1.74,0,0,0,0,0,0,0,4.38,0,0,48.87,0,0,0,0,0,0,0,0.75,4.59,1.33
 36-46,0,0,0,0,6.43,0,0,0,0,0,1.52,0,0,0,0,1.25,0,1.48,31.27,0,0,0,0,0,0,0,0,4.5,0
 48-58,0,0,0,0.4,2.81,0.4,0.48,2.37,0.58,0,0,0,0,0,0,3.77,0.41,5.35,17.79,0,0,0,0,0,0,0,0,3.05,0.43
 60-70,0,0,0,0,7.66,0,0,2.32,4.11,0,0,0,0.67,0,0,11.86,0,1.93,1.32,0,0,0,0,0,0,0.6,0,1.75,0
 72-82,0,0,0,0,1.86,0,0,0,0.57,0,0,1.54,0,0.88,0,9.59,0,1.23,8.36,1.46,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.44,0,0,0,2.21,0,0.78,0,0,0,0,4.77,0,3.88,1.56,0,1.99,0,0,0.88,0,0,0,0,0
 96-106,0,0,0,0.6,2.26,0,0,0,2.53,0,0,0.61,0,0,2.16,2.56,0,2.33,10.55,0,0,1.13,0,0,0,0,0,0,2.77
108-118,0,0,0,1.86,3,0,0,2.25,0.87,0,0,0.75,0,1.19,0,7.72,0,0.85,6.13,0,0,0,0,1.14,0,0,0,0,0.69
120,0,0,0,0,0,0,0,7.62,4.69,0,0,0,0,0,0,1.95,0,0,11.42,0,0,0,0,0,0,0,0,0,0
