stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,vasculature
  5-6,11.42,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.49,0,0,0,0,0,0
 14-21,0,0,0.98,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,3.48,0
 24-34,0,0,0,1.37,0,0,1.06,0,0,0,0.86,0,0,35.03,1.62,0,0,0,11.04,0.76
 36-46,0,0,0,0,0,1.28,1.31,0,0,0,2.4,0,0,64.43,0,0,5.34,0,5.51,0
 48-58,0,0,0,0.88,0,11.62,0.77,0,0,0,3.77,0,0,95.25,2.07,0,0,0,8.48,0
 60-70,0,0,0,0,0,37.54,0,0,0,0,0,0,0,76.31,0,0,0,0,1.53,0
 72-82,0,0,0,0,0.58,54.32,3.03,0,0,1,2.19,0,0.69,102.22,0,0,0,0,7.18,0
 84-94,0,0,0,3.61,0,50.2,0.84,0,0,0,1.98,0,0,34.72,0,1.1,0.79,0,2.12,1.09
 96-106,0,0,0,0,0,27.39,12.29,0,0,0,11.02,0,0,41.26,0,0,0,0.6,0,0
108-118,0,0,0,6.05,0,23.34,1.66,0,0.43,0,2.95,0,0,63.98,1.48,0,0,0,0,1.86
120,0,0,0,1.87,1.71,27.85,23.22,5.78,0,0,4.28,4.22,4.7,184.86,0,0,0,0,5.58,9.08
