stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.81,500.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.03,0,0,0,0,0,0,0,0
  5-6,13.48,582.88,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.58,0,0,0,14.14,0,0,0,0,0,0,0,0
  7-9,3.28,5.55,0,3.54,0,0,14.26,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,280.47,0,0,57.92,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.47,0,0,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.28,0,0,46.6,0,3.78,0,0,0,0,0,0,0
 14-21,0,0,0,2.94,9.06,5.65,1.21,0,1.16,0,0.92,0,0,0,19.3,0,0,0,4.11,0,2.2,39.35,0.96,2.08,2.54,0,1.77,13.67,0,7.41,0,0,9.6,0
 24-34,0,0,0.61,1.2,3.38,0.66,5,0,0,0,1.48,0,0,1.55,62.39,2.11,0,0,4.79,0,0.68,99.61,12.18,0,0,2.49,0,6.62,0,29.56,0,0,70.48,0
 36-46,0,0,0,0,0,0,27.2,0,0,0,1.6,0,0,1.3,33.92,0,0,0,1.92,0,0,106.38,5.44,0.58,0,0,0,7.58,0,17.93,0,0,48.18,0
 48-58,0,0,0,0,9.04,0,28.73,0,0.79,0,5.54,0,0,0,39.94,0,0.42,10.74,5.22,0,1.64,82.87,11.69,0,0,1.47,0,1.76,0,7.71,0,0,72.94,0
 60-70,0,0,0,0,0,0,32.44,0,3.35,0,1.88,2.03,0,0.84,34.46,0,0.67,0,0.67,1.53,0,136.64,4.91,0,0,7.69,0,1.75,1.58,1.95,0,0,74.49,0
 72-82,0,0,1.78,0,0.54,0,11.43,0.9,0,0,1.64,9,0,0,28.47,1.36,0.91,0,5.65,0,0,87.24,10.66,0.88,0,1.35,0,4.36,0,4.37,0,1.24,101.84,6.91
 84-94,0,0,0,0,1.99,0,8.71,0,4.05,2.18,0.68,14.41,0,1.46,61.44,1.65,2.43,1.28,7.38,0,1.08,55.65,19.86,0.89,0,8.52,0,7.12,0,0,0,0,88.63,0
 96-106,0,0,3.57,0,6.54,0,11.68,0,10.4,7.3,2.15,12.83,0,2.33,40.74,2.99,7.39,0.63,4.8,0,0.95,39.51,8.24,0,0,1.98,0,4.71,0,4.96,0,0,159.67,0
108-118,0,0,2.49,0,11.41,2.09,14.17,0,5.98,0,0.73,18.47,0,1.75,43.56,3.03,1.58,2.5,5.78,0.43,0,68.2,10.51,2.99,0,0.9,0,4.49,0,5.08,3.91,0,132.63,0
120,0,0,0,0,5.25,0,16.96,0,6.51,0,1.73,41.01,0,0,112.68,0,0,0,0,0,0,65.24,20.03,0,0,0,0,3.4,0,7.63,2.25,0,282.74,0
