stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,mucous,muscle,neural,olfactory,pronephros,spinal_cord,vasculature
  3-4,9.47,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.68,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,14.32,0,0.6,11.06,4.9
 36-46,0,0,0,0,0,0,0,0,34.87,0,0,14.78,2.44
 48-58,0,0,0,5.07,1.03,0,0,0,63.91,0,0,14.29,8.92
 60-70,0,0,0,1.94,0,2.09,0,0,171.18,0,0,32.44,3.09
 72-82,0,0,0,20.27,0,0.99,0,0,203.08,0,0,32.58,3.88
 84-94,0,1.96,0,13.99,1.38,0,0,0,210.28,0,0,27.23,6.47
 96-106,0,0,0,7.76,1.92,3.28,1.34,0,203.59,0,0,12.58,2.14
108-118,0,0.81,1.23,22.66,5.95,3.12,0,0,202.02,0,2.64,11.57,1.16
120,0,0,0,33.46,21.57,0,0,3.39,343.6,2,0,17.01,10.94
