stage,epidermis,eye,fin_mesenchyme,glial,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,1.09,0.86,0,0,0,0
 24-34,0,0.71,0,1.43,0,0,4.99,0,2.59,2.36,9.07,0.8,0,0
 36-46,0,0,0,0,0,0,6.08,0,1.72,0,0,0,0,2.84
 48-58,0,0.46,0,4.3,0,0.44,10.87,0,4.54,2.14,0,0,0.65,0
 60-70,0.99,0,0,3.05,0.6,0,18.93,0,5.06,9.54,0,0,0,0
 72-82,0,0,0.89,2.9,0,0,26.56,0,2.27,0.59,0,0,0,0
 84-94,0.55,4.27,0,4.82,0,0,11.18,1.37,1.39,0,0,0,1.37,0
 96-106,0,0,0,9.69,0,0,39.82,3.01,2.98,3.56,0,0,0,0
108-118,0,0.75,0,0,1.83,0,14.51,0,0.44,10.04,0,0,0,0
120,1.81,0,0,8.04,0,0,26.36,0,6.57,6.97,0,0,0,0
