stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,188.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.62,139.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0
  7-9,10.35,5.69,0,10.02,0,0,0,33.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,27.76,0,0,18.87,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.36,0,0,0,12.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.48,14.67,0,0,30.98,0,0,9.66,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.02,26.13,12.55,0,9.29,0,0,4.63,1.95,0,0,0,0,0,0,0,0,9.03,0,0,8.76,185.33,77.86,0,0,10.98,10.41,8.72,0,1.8,17.99,51.68,0,0,14.12,0,0
 24-34,0,0,0.8,0.59,6.25,4.13,0,3.71,0.7,0,1.22,0,0.76,0.67,0,0.8,0,0,1.74,0,5.21,0,0,3.31,134.85,8.68,4,0,0,4.1,0,0,0,0,17.61,0,0,33.2,0,0
 36-46,0,0,0,0,20.61,0,0,10.41,1.26,1.92,5.22,1.95,0,1.93,0,0,0.61,0.65,0,0,20.61,0.68,2.45,5.1,161.68,10.8,12.51,2.72,0,6.39,0,0,0,0,55.98,0,0,3.22,0,0
 48-58,0,0,0.87,0,3.58,0,0,16.65,2.95,0.81,1.88,0,3.78,0,0,0,0.39,0.58,0,0,13.72,0,0,0.55,94.22,0.52,6.29,3.33,0,2.63,0,0,0,0,42.56,0,0,4.79,0,0
 60-70,0,0,3.43,0,13.93,0,0,242.33,1.09,0,5.66,0.68,0,0,5.96,1.72,0.66,1.61,0,0.93,56.96,3.89,5.33,2.19,267.75,2.45,15.26,3.37,0,12.11,0,0,0,0,109.15,0,0.57,8.2,0.87,12.99
 72-82,0,0,1.5,0,12.57,67.43,0,186.13,0,1.07,17.45,2.17,2.18,2.42,1.06,0.71,0.75,0,0,0,44.88,1.01,7.23,2.67,409.74,0,13.72,1.02,0,12.51,0,1,0,0,103.94,0,0,13.6,2.44,0
 84-94,0,0,0,0,4.56,46.93,0,156.95,0.86,0,7.03,1.59,7.49,1.73,15.02,0.75,2.82,0,0,0,27.03,0,0.92,5.46,211.42,0.57,20.84,0,0,31.21,0,0,0,0,85.53,0,0,15.89,0,6.11
 96-106,0,0,1.41,0,15.91,87.4,0,148.47,0.71,3.06,22.95,2.69,1.32,0.99,8.98,2.59,2.01,0.95,0,0,53.2,6.51,3.33,3.84,219.36,0,12.92,1.27,1.2,48.01,0,0,0,0,61.86,0.62,1.88,14.88,7.77,0
108-118,0,0,1.95,0,10.99,69.25,0.49,93.2,2.52,0,23.33,0.98,0,1.1,11.17,2.47,1.06,0.5,0.88,0,40.87,2.8,10.29,6.06,380.57,2.67,8.26,1.97,0,27.71,0,0.59,0,0,50.35,3.78,0,12.74,0.87,3.21
120,0,0,0,0,14.84,20.94,0,106.81,6.68,0,40.27,4.38,0,0,4.88,0,6.44,4.72,5.02,0,97.16,1.65,16.08,2.23,606.79,0,1.48,0,0,18.41,0,0,0,0,20.53,1.24,0,38.15,3.77,0
