stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,73.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.34,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.09,0,0,0,0,0,0,0,0
  7-9,0,0,30.09,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0,0,0,0,191.12,8.25,0,0,57.47,3.37,0,0,0,0,0,0,0
 10-12,0,28.5,38.03,0,16.41,0,3.32,0,0,0,0,27.76,0,0,0,0,0,0,0,0,0,166.64,5.37,0,0,86.16,0,0,19.5,0,0,0,0,0
 14-21,0,0,0.8,6.44,2.08,0,2.8,0,0,0,1.07,0,0,0,0,0,0,1.83,0.9,0,2.88,19.06,0,0,0,0,0,4.38,0,6.18,5.63,0,0,2.62
 24-34,0,0,0,1.14,0,0,11.88,8.76,0.89,0,0,0,0,0,0,0,0.65,0,6.85,0,2.13,157.31,0,0,0.62,0,0,0,0,2.92,22.09,0,2.92,5.76
 36-46,0,0,0,1.5,1.06,0,28.57,0,0,5.63,1.18,0,0.67,0,0,0,0,12.26,3.09,0,0,210.47,0,1.14,0,0,8.41,0,0,0,34.53,0,5.63,1.26
 48-58,0,0,0,0,0.67,0,78.48,0,0,28.06,2.78,0,0.4,0,3.67,0,0.37,8.19,5.23,0,3.09,176.92,0,0.47,0,0,0,0,0,0,29.27,0,0.41,20.82
 60-70,0,0,0,2.34,0,0,41.28,0,0,9.33,0,0,0,1.4,1.95,2.2,1.72,2.29,4.77,0,3.28,92.06,6.77,2.28,0,0,10.83,0,0,0,7.64,1.22,0,21.49
 72-82,0,0,0,2.14,4.86,0,26.89,0,1.93,2.43,0,0,0,0.61,0,0,0,0,4.06,0,0,55.63,0,0,0,0,6.97,0,1.77,0,4.18,0,1,22.69
 84-94,0,0,0,0.57,0,0,9.7,0,0,0.97,1.91,0,0.65,0,0.75,0,0,0,2.12,0,0.6,64.4,0,0,0,0,2.16,0,0,0,0,0,1.3,8.18
 96-106,0,0,0,0,3.11,0,22.15,0,0.6,6.1,2.01,0,2.2,0.77,0.58,0,0,0,5.69,0.57,0,34.93,0,0,0,0,3,0,0,0,0,0,6.54,11.45
108-118,0,0,0,3.78,2.34,2.97,30.39,0,0,6.6,1.17,0,3.15,0.68,3.72,0,0,0.91,5.07,0,0.43,29.97,0,0,0,0,1.97,0,0,0,0,0,1.57,6.06
120,0,0,0,2.57,21.46,0,39.28,1.14,0,5.92,0,0,12.74,0,0,0,0,0,3.65,0,2.29,66.02,0,1.29,0,0,12.28,0,0,0,0,0,0,10.9
