stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,54.31,890.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.26,690.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.98,66.81,0,71.98,0,5.98,151.38,0,0,0,0,0,22.37,0,0,0,0,0,0,0,0,0,0,1203.66,21.36,0,0,314.06,0,0,13.91,0,0,0,0,0,0,0,0,0,0
 10-12,0,73.29,0,138.98,0,12.77,185.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597.01,47.8,0,0,359.44,0,0,11.27,0,18.04,0,0,19.63,0,0,0,0,0
 14-21,0,1.28,1.41,4.94,145.49,14.78,40.21,0,0,0,164.45,6.28,0,0.89,0,0.9,0,0,0.85,59.02,0,0,19.22,968.59,38.71,24.98,65.97,66.09,0,0,1.23,58.81,257.57,1.74,20.72,1070.54,0,0,2.63,0,0
 24-34,0,0,0.62,4.13,54.9,2.11,16.23,0,0,2.45,185.15,2.19,0,0,0,0.79,7.39,1.38,0,39.92,1.24,0,35.15,681.1,3.58,123.92,35.87,0,0,1.15,0,1.19,153.56,0,14.4,732.04,0,0,6.55,0,0
 36-46,0,0,0,0,12.44,0,75.3,0,0,1.31,175.61,0,0,2.5,0,0,13.39,8.55,0,10.26,0,0,2.59,710.44,0,121.91,22.59,0,0,0,0.65,0,124.88,0,0,384.08,0,0,0.91,0,0
 48-58,0,0,0,0,7,0,184.94,0.81,0,0,186.16,0,0,0,4.52,0,8.47,0,0,19.25,0,0,0,514.61,0,51.42,31.2,0,0.53,0.44,0.65,0,46.3,0,0,301.23,0,0,0.43,0,0
 60-70,0,0,0,0,10.7,0,211.85,0,2.84,0,167.57,0,0,0,4.13,0.61,20.54,0,0,6.36,0,0,0,582.85,0,69.17,38.81,0,0,3.09,0,0,13.74,0,0,127.63,0,3.01,0,0,0
 72-82,0,0,3.21,0,9.99,0,123.49,2.65,0,6.88,134.28,2.9,0,0.89,0,0,21.03,0,0,10.41,0,1.12,0,388.37,0,121.21,42.96,0,0,0,0.85,0,13.14,0,0,116.46,0.94,0,0,0,0
 84-94,0,0,3.9,2.48,19.09,0,129.27,0,1.17,0.61,141.57,2.71,0,1.27,0,5.37,29.27,0,0,14.81,0,0,0.66,305.24,0,165.86,57.05,0,0,1.35,1.4,0,30.79,0,0,81.79,0,0,5.63,0.98,5.55
 96-106,0,0,1.38,3.37,3.36,0,62.95,1.98,0,0.74,93.2,2.38,0,0,0,2.22,43.79,0,0,17.02,0,0,0,203.52,0,154.67,65,0,0,2.27,1.76,0,12.84,0,0,56.53,1.62,0,0,4.39,0
108-118,0,0,2.93,6.02,7.44,0,77.65,8.24,0,0,119.67,0,0,0,0,0,33.99,0,0,15.69,2.55,4.08,0,330.19,0,161.48,57.27,0,0,2.85,0,0,23.65,0,0,69.96,0.67,0,0.93,0.66,0
120,0,0,0,0,7.53,0,77.7,1.95,0,0,65.78,2.35,0,0,0,1.4,48.24,0,0,0,0,0,2.24,232.67,0,117.97,87.8,0,0,0,2.5,0,25.4,0,0,42.99,13.8,0,0,0,0
