stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros
  3-4,27.88,1350.63,0,0,0,0,0,0,0,87.79,0,0
  5-6,30.52,826.71,0,0,0,0,29.36,0,0,0,0,0
  7-9,12.41,4.71,7.13,0,22.57,10.14,241.81,23.11,44.2,0,19.98,0
 10-12,0,36.54,53.29,9.23,23.72,25.71,751.06,15.15,244.64,5.07,3.03,28.99
