stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.61,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,40.61,4.82,0,0,18.22,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.39,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.89,0,0,0,0,0,0.91,5.14,0,0,0,0,0,0,0,1.73,0,0,4.97,14.04,0,0,0,0,0,0,1.22,0,1.31,2.45,1.96,0,0,0,0,0
 24-34,0,0,2.13,0,2.04,0,0,0,0.72,0,0,0,0,0,0,0,0,1.85,0,0,0,36.63,0,0.77,1.7,0,0,5.28,0,0,0,0.67,6.33,0,0,0,0,0.77
 36-46,0,0,0,0,10.73,0,0,0,0.61,0,0,0,0,1.57,0,0,0,7.97,0,0,0,27.03,0,0,0,0,0,12.49,0,0,1.67,0,6.38,0,0,1.91,0,0
 48-58,0,0,0,0,2.15,0,0.63,0,4.1,0,0,0.63,0.39,0,0.38,0,9.33,1.93,0,0,3.01,65.58,0,1.64,0,0,0,7.31,0,0,1.07,0,3.97,0,0,1.03,0,5.09
 60-70,0,0,0,0,8.98,0,0,0,5.66,0,0,0,0,0.92,0,0,0,6.85,0,0,0,78.93,0,0.62,0,0,0,1.28,0,0,0,0,6.01,0,0,3.57,0,0
 72-82,0,0,0,0,7.44,0,0.55,0,8.64,0,0,0,0.72,0,0,3.06,0,16.6,0,0.75,0.78,73.9,0,0,0,0,0,2.21,0,0,0,0,1.56,0,0.75,3.08,0,1.14
 84-94,0,0,1.82,3.24,18.28,0,0,0,6.44,0,0,0,0,0,0.69,0,0,27.08,0.86,4.1,0,90.1,0,0,0,0,1.01,8.33,0,0,0,0,0,0,2.12,0.83,0,6.26
 96-106,1.12,0,3.24,0,9.58,0.74,0,0,17.17,0,0,0,0.83,0,0,0,0,11.97,0,0,1.28,75.54,0,0,0,0,0,19.54,0,0,0,0,3.28,0.88,0,4.65,0,0
108-118,0,0,6.53,0,11.77,0,0.43,0.86,11.37,0,0,1.03,5.75,0,0,0,2.1,8.13,0,0,1.77,89.67,0,0,4.43,0,0,3.28,0,0.84,0,0,4.87,0.43,0,0,0,0
120,0,0,5.36,7.04,30.38,0,0,0,20.24,0,0,0,1.51,0,0,0,0,2.54,0,0,0,227.24,4.62,0,0,0,0,4.07,0,0,0,0,0,0,0,0,2.01,0
