stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,77.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.08,0,0,0,21.02,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0,119.18,0,0,0,64.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.55,1.98,0,4.31,0,0,0,4.52,0.98,0,1.15,0,0,0,0,0,0,3.05,0,9.91,61.37,0.94,1.21,0,2.52,0,0,0.86,5.36,0,2.93,9.29,16.99,0,0,0,0,0
 24-34,0,0,0.76,3.89,1.78,0,6.68,0,0.71,0,8.64,0,0,0,0,0,0,0,0.65,0,9.51,0,1.72,174.66,0.67,0,1.33,0,0,0,0,0,0,0,0.73,39.16,0,0,0,0,0
 36-46,0,0,0,1.07,0.73,0,19.7,0,0,0,10.86,0,0,0,0,0,0,0,0,0,12.37,0,3.12,210.13,0,2.42,0,0,0,2,0,0,7.4,0,0,41.71,0,0,0,0,0.74
 48-58,0,0,0,1.72,0,0,67.76,0,0,0.57,12.28,0,0,0,0,0,0,0.51,0.37,2.02,15.31,0,1.48,199.02,0.56,6.74,0.37,0,0,0,0,0,0,0.4,0,43.91,0,0,0,0,3.66
 60-70,0,0,0,6.78,0,0,106.95,0,0,0,17.31,1.82,0,0,0,0,5.64,0,0,0,16.03,0,4.03,240.19,0,2.2,0,0,0,10.75,0,0,0,1.34,0,36.31,0,0,0,0,0
 72-82,0,0,0,1.38,6.29,0,134.64,0,0,0,30.21,2.26,0.65,0,0,0,0,0,0,0,31.88,0,1.55,223.21,0,3.23,1.35,0,0.71,2.76,0,0,0,3.03,0,15.87,0.87,2.11,5.47,0,0
 84-94,0,0,0,1.95,0.69,0,59.11,0.7,3.31,2.92,12.02,1.23,0,0,0,0,1.6,0,0,0,18.08,1.89,7.42,110.84,0,0,0,0,0,3.24,0,0,0.73,0,0,6.62,0,0,0,0,0
 96-106,0,1.08,0,7.26,1.29,0,78.13,0,0.71,2.2,19.39,0.67,0,0.68,0.7,0,0,1.3,0,0.71,23.74,1.98,0.9,134.68,0,0.83,2.82,0,0,9.24,0,0,0,0,0,9.19,0,0,0.99,0,2.52
108-118,0,0.57,0,5.07,0.94,0,88.66,0.64,0.76,0,13.35,0,0,0.86,1.65,0,0,1.96,0,2.87,16.6,1.72,6.84,191.94,0.55,0.47,2.26,0,1.55,1.48,0,0,0,0,0,2.04,0,2.04,1.52,0.99,0
120,0,0,0,4.1,0,1.05,71.72,1.13,0,0,47.53,1.73,0,0,0,15.24,3.32,0,0,0,23.14,0,2.48,291.09,0,0,5.12,0,0,6.03,0,0,0,0,0,12.1,0,0,3.74,0,0
