stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.88,207.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.03,250.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.06,0,0,36.58,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,140.19,5.11,0,0,54,0,0,8.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.93,0,0,44.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.21,15.44,0,0,73.04,0,0,0,0,11.5,0,0,0,0,0,0,0
 14-21,0,0,0,4.5,0,7.74,0,0,0,4.35,0,0,6.71,0,0,0,0,10.74,0,0,6.75,79.07,0.81,1.44,1.02,0,0,1.79,0,5.87,1.06,1.87,4.47,29.39,0,2.65,0,0.84
 24-34,0,0,0,2.49,0,9.59,0,0,0,0,0.71,0,0,0,0,0,0,7.42,0.69,0,6,97.88,0,0,0.77,0,0,7.45,0,0,0.69,0,0.6,22.1,0,5.52,0,0
 36-46,0,0,0,1.51,0,10.99,0,0,1.17,2.65,0,0,0.77,0,0,0,0.66,7.45,0.78,0,1.56,107.11,0,0,1.03,0,0,10.26,0,0,0.56,0.7,0,15.23,0,3,0,0
 48-58,0,0,0,0,0,10.16,0,0,0,8.78,0,0,0.69,0,0,0,0,11.17,0,0.84,1.13,34.24,1.36,0.47,1.16,0,0,3.72,0,0,0,0,0,10.71,0,1.84,0,0.5
 60-70,0,0,0,0,0,28.12,0,0,0,19.84,0,0,3.34,0,0,0,0,25.58,0,0,1.49,16.35,0,0,0,0,0,3.25,0,0,0,0,0,4.13,1.27,3.05,0,0
 72-82,0,0,0,0,2.24,5.35,0,0,0,7.21,0.56,0.52,0,0,0,0,0,20.49,0,6.05,1.34,30.78,0,0,0,0,0,0.87,0,0,0,0,0,11.7,1.85,0.9,2.47,0
 84-94,0,0,0,1.64,7.9,4.39,0,0,0,5.84,0,0,0,0,0,0,0,24.33,0,0,3.29,15.56,5.57,3.34,4.91,0,0,1.69,0,0,0,0.69,0,0,1.37,0.97,1.67,0.76
 96-106,0,0,0,0.63,5.52,12.18,0,0,0.84,8.75,0.66,0,0.95,0.58,0,0.93,0,33.74,1.63,1.69,1.4,25.77,0.61,0,0,0,0,4.62,0,0,0,0,0,8.61,0,11.12,6.11,1.93
108-118,0,0,0,6.77,2.09,10.9,1.29,1.21,0,29.51,1.46,0,0.46,0,0.98,0,1.75,31.39,1.54,0,2.39,19.89,0,0,5.95,0,0,3,0,0,0,0.49,0,0,0.86,5.89,11.85,0.85
120,0,0,0,3.53,0,9.07,1.18,0,0,44.89,2.75,0,4.13,0,0,0,0,1.78,0,0,0,59.53,0,0,0,0,18.18,2.51,0,0,0,0,0,1.81,0,0,3.39,0
