stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,17.76,0,29.39,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,33.02,0,51.64,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.28,0,0,0,4.69,1.17,0
 24-34,0,0,0,0,0,0,0,0,5.56,1.16,0,0,0,1.48,0
 36-46,0,0,0,2.41,0,0,0,0,20.4,0,0,0,0,3.34,0
 48-58,0,0,1.81,18.28,0,0,0,0,45.03,0,0,0,0,4.83,1.05
 60-70,0,0,0,16.39,0,0,0,0.66,44.63,7.28,0,0,0,2.11,0
 72-82,0,0,0,16.56,0,0,0,0,74.5,0,0,0,0,3.15,0
 84-94,0,0.62,0,9.1,0,0.8,0,0,17.02,2.95,0,0,0,3.07,0
 96-106,1.15,0,0,3.16,0,0.8,0.58,0,25.13,3.37,0,0,0,0,0
108-118,0,0,0,3.24,0.45,0,0.64,0,11.81,9.69,0,0,0,0,0.55
120,0,0,0,0,0,0,0,0,7.32,4.59,0,2.4,0,0,0
