stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,6.25,0,1.15,0,0,0,0,0,0,0.84,26.23,0.91,0,4.42,1.66,2.47,1.04,0,0
 24-34,0.65,1.03,4.97,0,1.42,0,0,0,9.63,0,40.5,0,3.18,0,0,0,5.93,0.74,10.3
 36-46,0,0,15.32,0,3.09,0,0,0,1.88,0,27.09,0,1.68,0,0,0,3.24,0,0
 48-58,0,0,10.76,0.45,0.78,0,0,0,1.16,0.88,25.87,0,0,0,0,0,6.87,0,0
 60-70,0,0,17.25,0,0,0,0,0,3.07,0.74,26.06,0,0,0,0,0,0,0,0
 72-82,1.66,4.77,4.56,0,0,0,0.93,0,0,0,12.09,0,0,0,0,0,0,0,0
 84-94,0,0,10.99,0,0.65,0,0,0,5.01,2.18,0,0,0,0,0,0,1.5,0,0
 96-106,0,4.02,1.35,0,0,0,0,0,0,0,14.38,0,0,0,0,0,0,0,0
108-118,0,6.87,4.38,0,0,0,0,0.78,0,0.48,11.14,0,0,0,0,0,0,0.64,0
120,0,0,4.94,0,1.75,1.71,0,0,1.93,0,2.44,0,0,0,0,0,0,0,0
