stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,35.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.95,10.43,0,0,36.97,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.23,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.79,0,0,0,35.12,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.25,29.65,3.32,0,8.62,0,0,0,1.11,0,0,0,0,0,0,0,18.99,0,0,14.91,242.88,4.85,0,4.43,1.99,0,5.58,25.03,0.89,3.62,46.99,65.07,0,0,1.09,0,0
 24-34,0,0,1.35,20.58,0.81,0,19.19,0,0,0.99,9.89,0,2.82,0,0.6,0.63,3.07,0.64,50.1,0,0,23.96,719.43,12.94,0.63,3.16,0,0,39.33,0,0,0.88,12.58,141.23,0,0,19.98,0,2.64
 36-46,0,0,0,16.08,1.23,0,21.34,1.31,3.92,3.7,26.3,0.56,0,0.96,0,0,3.48,0,48.89,0,0.8,25.1,562.16,9.1,0,2.2,0,0,25.45,0,0,0,0,177.27,0,0,0,0,0
 48-58,0,0,0.4,16.88,0,0,77.37,1.24,6.31,1.68,120.35,0.6,0.45,0,0,0,5.26,0.59,49.04,0,1.97,12.53,286.99,3.32,0,2.05,0,0,7.66,0,0,0,0,164.15,0,0,2.59,0,1.47
 60-70,0,0,0,20.96,0,0,49.79,4.45,1.7,0.91,39.58,0,0,0,10.83,1.2,1.96,0,62.55,0,1.78,15.77,148.26,5.09,0,9.88,0,0,1.52,0,0,1.94,0,34.98,1.69,0,2.18,0,9.24
 72-82,0,0.68,0,17.98,0,0,55.83,0.56,1.73,3.01,52.54,1.1,3.32,0,1.73,0,3.53,0,72.47,1.94,4.83,15.95,107.65,1.67,0,3.71,0,2.36,9.57,0,0,1.5,0,19.47,0,2.71,9.46,1.41,1.22
 84-94,0,0,0,24.43,0,0,27.34,8.86,2.3,5.47,43.67,0,0,0,0.68,2.04,1.2,4.62,53.05,0,0,3.9,103.72,1.11,2.6,2.49,0,0,19.9,0,0,0,0,15.53,0,0.88,1.76,2,0.89
 96-106,0,0,0,15.15,0,1.19,21.8,3.09,0,1.34,49.45,2.08,0,0,0.66,0,8.77,0,42.73,0,1.41,3.8,97.88,3.63,0,1.28,0,0,16.47,0,0,0.62,0,1.77,5.15,0,7.56,0.58,0.89
108-118,0,0,0,25.28,0,1.1,30.77,9.24,2.13,0,34.64,1.7,0.51,0.88,1.03,15.71,5.59,11.25,42.58,1.96,0,18.29,70.3,0,0.87,3.64,0,0,24.66,0,0,0.92,0,4.53,2.27,2.65,7.83,0,2.66
120,0,0,0,47.31,0,0,35.03,0,1.31,0,50.98,1.45,0,0,1.36,16.23,0,1.61,42.15,0,10.71,10.2,177.48,4,0,1.76,0,19.49,10.65,0,0,0,0,0,1.09,0,2.42,8.87,0
