stage,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,mesenchyme,mucous,mural_cell,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48,1.07,1.09,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.8,0,0,9.49,0,0,1.37
 36-46,0,0,2.05,0,0,0,0,0.9,0,0,1.93,0,0,4.98,0,0,0
 48-58,0,0,0.66,0,0,0.57,0,0,0.63,0,3.08,0,0,0,0,1.28,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.82,0,1.2,5.82,0,0,0
 72-82,0,0,5.31,0,0,0,0,2.48,0,0,3.17,0,0,7.41,0,0,0
 84-94,0,0,0,1.15,0,0,0.67,2.26,0,0,2.03,2.89,0,14.22,0,0,0
 96-106,0,0,0,0,0.66,0,0,3.72,0,0,3.34,0,0,26.54,0,0,0
108-118,0,2.29,4.03,0,0.95,0,0,0,0,0,3.2,0.59,1.75,16.51,0,0,0
120,18.77,1.03,0,0,0,0,1.66,19.97,0,2.4,0,0,0,11.88,0,0,0
