stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.55,0,0,0,45.01,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,15.33,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76,11.77,0,0,16.02,0,0,0,0,0,5.3,0,0,0,0,0
 14-21,0,0,1.08,3.65,0,1.87,0,0,3,0,0,0,0,0,0,0,0,0,0,31.84,0,0,0,0,0,3.51,3.91,0,0,7.19,9.62,0,0,0,0
 24-34,0,0,0,0.98,0,6.32,0,0,0.93,0,0,0,0,0,0,9.01,1.39,0,5.6,80.85,0,1.47,0,0,0,7.04,0,0,0,0,28.05,0,0,3.42,0
 36-46,0,0,0,5.11,0,10.2,0,0,2.03,0,1.71,0,0,0,0,15.59,0.59,0,2.46,105.84,0,0,8.7,0,0,1.77,0,0,0,0,21.2,0,0,1.39,0
 48-58,0,0,0,8.54,0,19.35,1.87,0,7.56,0,2.34,4.27,0,0,0.54,10.47,0,0,1.53,130.59,0,0,0,0,0,1.35,0,0,1.88,0,10.53,0,0,0.92,2.61
 60-70,0,0,0,2.14,0,34.82,0,0,3.31,0,0,0.78,0,0.63,0,4.44,0,0,2.29,70.86,0,0,0,0,0,2.11,0,1.06,0,0,23.56,0,0,3.23,0
 72-82,0,0,0,0.98,0,56.9,0,1.2,2.61,0.62,0,0,0,0,0,3.2,0,0,0,55.57,0,0,0,0,0,2.19,0,0,0,0,12.27,0,0,0,0
 84-94,0,0,0,0,0,28.37,0,0,1.47,0,0,1.4,0,0,0,7.01,0,0.86,0,55.46,0,0,0,0,0,0.63,0,0,0,0,1.92,0,0,0,0
 96-106,0,0,0,0.61,10.42,21.09,0,0,2.87,0,0,0,0,0,0,8.58,0,0,0.64,35.62,0,0,0,0,1.16,2.98,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.47,0,13.28,0,0.56,6.47,4.22,0.71,0,1.15,0,0,8.43,0,0,0,28.14,0,0,0.79,0,0,0,0,0.85,0,0,2.58,1.29,0.88,3.96,0
120,0,0,0,2.07,0,8.4,0,0,30.88,0,0,0,0,0,0,35.83,0,0,0,63.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
