stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle
  3-4,44.7,583.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0
  5-6,17.06,566.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.11,6.46,20.07,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,0,0,0,1.09,0,0,0,0,0,0,0.99,0,0,0,22.16,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,1.02,0,0,0,1,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.91,0,0,0,0,0,0,1.46,0,0,0,7.23,0,0,0,0
 72-82,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,5.05,0
 84-94,0,0,0,0.99,0,0,0,3.45,0,0,0,5.76,0,0.57,0,0,0,8.1,0,0,5.29,0
 96-106,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,10.7,2.31,6.88
108-118,0,0,0,0,0,0.99,0,0,0,0.78,0.65,0,1.67,0,0.43,0,0,35.18,0,0,5.42,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,26.79,0,0,0,0
