stage,blastomeres,epidermis,fin_mesenchyme,gut,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,periderm,vascular_smooth_muscle
  5-6,8.36,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,35.12,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.3,0
 24-34,0,0,0,0,0,0,0,0,3.06,0,0,0
 36-46,0,0,0,0,0,1,0,0,0,0,0,0
 48-58,0,0,0,0,2.4,0,0,0,0,0,9.62,0
 60-70,0,0,0,0,9.12,0,0,0,0,0,5.18,0
 72-82,0,0.53,0,0,1.46,0,0,0.77,0,0,0,0
 84-94,0,0,0,0.97,6.91,0,0,0,0,0,1.99,0
 96-106,0,9.33,0,0,12.5,0,0.62,0,1.04,0.75,32.56,0
108-118,0,0.66,1.84,0,15.57,1.05,1.54,0.91,0,0,10.48,0
120,0,2.48,0,0,7.56,0,0,0,0,0,11.53,2.12
