stage,blastomeres,eye,glial,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,648.33,0,0,0,0,0,0,0,0,0,20.95,0,0,0,0,0,0
  5-6,136.29,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.21,0,0,0,0,1.76,0,0,0,0.88,0,0.85,4.17,0,0
 24-34,0,0,1.45,0,2.05,0,0,36.74,0,2.26,0,0,1.06,0,8.15,0,1.33
 36-46,0,0.66,2.95,0,2.34,0,0,16.74,0,0,0,0,0,0,4.36,0,0
 48-58,0,0.37,2.04,0.47,4.55,0,0,6.66,0,0,0,0,0,0,7.05,0,0.41
 60-70,0,0,4.97,1.09,5.12,2.87,0,6.27,1.31,0,0,0,0,0,0,0,0
 72-82,0,3.54,3.59,0,1.92,0,0,3.48,0,0,0,0,0,0,0,0.53,0
 84-94,0,1.11,2.67,2.94,3.54,0,1.39,1.46,0,0,0,0,0,0,0,0,0
 96-106,0,2.79,2,1.08,3.11,0.93,0,1.94,0,0,0,0,0,0,0,0,0
108-118,0,0,2.07,1.77,1.11,0,0,1.95,0,0,0,0,0,0,0,0,0
120,0,2.07,2.2,2.66,0,0,1.32,0,0,0,0,0,0,0,0,0,0
