stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,42.09,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,46.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,3.5,0,0,4.94,0,0,0,0,0
 10-12,0,0,0,0,9.94,0,0,0,0,0,0,0,0,0,93.72,0,0,4.26,0,0,0,0,0
 14-21,0,0,2.75,1.02,0.81,0,0,0,0,0,0.83,0,0,0,14.35,0,1.07,0,2.7,1.88,0,0.87,6.39
 24-34,0,0,1.91,0,0,0,0,6.87,0,0.68,0,0.79,0,2.34,46.81,0,0,0,0,0,2.42,1.13,6.52
 36-46,0,0,0,0,4.79,0,0,2.62,0,0,4.26,0,0,1.39,44.89,0,0,0,5.57,0,0,0,5.87
 48-58,0,0,0.51,0,11.45,5.76,0,1.84,0,0,0.4,0,0.92,0,45.25,0,0,0,0,0,0,0,1.88
 60-70,0,0,0.91,0,15.32,0,0,6.59,0,0.77,0,0,0,0,34.42,0,0,0,0,0,0,0,1.41
 72-82,0,0,0,0,32.01,0,0,9.54,0,0,3.92,0,0,0.83,31.02,0,0,0,0,0,0,0,2.72
 84-94,0,0,0,0,32.65,0,0,0.67,0.85,0,3.71,0,0,0.57,15.2,0,1.26,0,1.92,0,0,0,0
 96-106,0,0,0.62,0,22.9,1,1.26,8.9,0,0,2.05,0,2.13,0,6.64,0,0,1.2,0,0,0,0,5.47
108-118,0,0,0,0,24,0,0,10.9,0,0.53,1.99,0,0.69,0,17.81,0,0,0,2.5,0,0,0,0
120,0,0,0,0,70.33,0,0,13.53,0,0,15.78,0,0,0,23.6,1.48,0,0,0,0,0,0,0
