stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,54.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,88.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.02,0,0,3.59,0,0,8.82,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,94.08,0,0,0,61.81,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.35,0,6.14,23.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,9.11,0,0,93.63,0,0,0,0,35.15,0,5.32,0,0,0,0
 14-21,0,0,0,1.04,14.26,5.57,9.37,0,0,0,9.11,0,0,1.81,0,0,0,0,0,30.61,0,23.6,197.48,1.74,2.02,0,1.94,0,0,0.91,19.84,2.28,12.45,74.65,0,0,0,0
 24-34,0,0,0.97,0,9.12,1.54,25.32,0,0.62,0,13.31,0.67,0,5,0,0,0.82,0.84,0,41.72,0,20.82,356.85,0.62,2.57,5.39,0,0,0,0,0,0,0.59,114.49,0,13.74,0,0
 36-46,0,0,0,0,10.82,0,67.64,0,0,0,19.7,0,0,5.27,0,0,0,0,0,48.47,2.55,14.77,265.84,0,4.39,2.05,0,0,1.09,0,0,0.86,0,114.01,0,7.05,0,0
 48-58,0,0,0,0,2.78,0,108.81,0,11.38,1.31,44.84,0,0,0,0,0,0,0,0,54.02,3.35,7.15,153.05,0.39,4.41,1.25,0,1.2,0,0,0,0,0,57.59,0,6.94,0,0.5
 60-70,0,0,0,0,1.16,0.61,127.96,2.05,5.6,0.85,40.71,1.93,0,1.76,0,0,0,0,16.21,49.98,8.49,2.93,149.49,0,0,3.8,0,0,0.67,0,0,0,0,32.16,3.03,2.55,0,0
 72-82,0,0,0,0,8.05,0,69.11,0,8.36,0.89,31.09,0,0,0,0,0,1.39,0,0,69.96,9.29,0.78,120.41,0,0.55,2.84,0,1.03,0,0,0,0,0,15.74,3.43,9.31,0,0
 84-94,0,0,0,0,3.98,0,71.34,0,0,3.81,51.9,0,0,0,4.19,0,0.58,0,0,50.26,18.8,4.34,70.95,0,0.78,7.26,0,0,0.7,0,0,0,0,18.82,1.69,1.44,18.87,0
 96-106,0,0,0.81,0,2.26,0,72.43,0,1.21,0,35.16,0,0,0,0,0,3.43,0,0,60.56,0,0.81,93.83,4.22,2.7,7.24,0,1.67,0,0,0,0,0,2.95,1.52,3.68,1.61,0
108-118,0,0,0,0,1.43,4.46,66.03,0.46,0,0,30.63,1.63,0,1.82,0.87,1.69,0.53,1.09,0,72.74,1.87,4.42,67.13,0,0,7.78,0,3.78,0,0,0,0,0,2.56,3.37,3.87,2.65,0
120,0,0,0,0,1.27,0,88.98,0,0,0,39.32,0,0,1.15,0,2.6,1.74,0,0,38.42,0,2.52,139.23,3.89,0,8.21,0,34.48,0,0,0,0,0,4.63,0,2.71,0,0
