stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,85.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0
  5-6,38.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,29.8,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,10.06,0,0,0,63.53,0,0,0,0,0,5.19,0,0,0,0,0
 36-46,0,117.13,0,0,1.67,0,1.79,0,0,0,0,0,0,0,0,0,0,3.28,0,0,1.15,139.46,0,0,0,0.67,0,6.38,0,0,0,0,0
 48-58,0,470.31,0,0,16.89,0,35.03,0,4.43,0,0.83,1.1,0,6.55,0,0,0.45,11.95,0,0,0,348.63,0,0,0,59.86,0,19.4,0,0,0,0,0
 60-70,0,703.64,0,0,31.19,0,43.08,1.79,7.35,0,0,0,3.16,0,0,0,0,23.93,12.51,0,3.67,325.21,0,0,0,171.9,0,4.89,1.54,0,0,1.42,11.63
 72-82,0,858.44,2.12,0,73.36,0,72.77,0.69,7.33,0,0,1.04,0,0,0,2.52,0,284.56,8.14,2.92,5.22,689.6,0.66,0,0,117.46,0,1.01,5.72,0,1.38,2.71,0
 84-94,0,1272.17,0.91,0,16.71,0,102.39,0,6.91,0.86,0,6,1.79,0,0,0,0,76.55,14.48,4.01,2.32,537.49,0,1.06,4.02,246.51,0.84,3.02,38.51,0,2.39,2.26,0
 96-106,0,1317.68,19.21,9.96,40.32,0.67,97.33,1.66,40.13,9.26,1.02,5.03,3.4,0,4.03,0.73,0,308.38,19.49,21.02,1.97,599.03,0,0,0,174.92,0,0,55.21,4.83,1.58,1.85,0
108-118,0,834.87,1.85,0,48.47,0,52.81,2.28,20.44,13.71,0,14.2,6.53,2.75,0,7.04,0,266.11,11.63,16.44,8.9,578.28,0,2.06,0.52,182.16,0.43,0,88.62,0,7.65,1.19,0
120,0,548.62,10.49,0,20.84,0,30.09,0,86.9,8.18,0,20.91,1.48,0,0,0,0,306.13,1.47,3.7,0,730.53,0,0,0,65.72,0,0,22.83,0,5.43,9.16,0
