stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0
 14-21,1.85,0,0,0,0,0,0,0,0,0,6.23,0,0,0,1.53,0,0.89,0,0,0,0
 24-34,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0
 36-46,27.42,1.18,6.4,0,0,0,0,0,0.64,1.36,2.27,0,0,0,0,0,0,0,0,0,0
 48-58,38.45,2.11,11.69,0,0,0.37,0,7.91,0,0.4,2.19,0,0,0,0,0,0,0,0,0,0
 60-70,32.97,0,18.12,0.59,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,1.45
 72-82,12.74,10.37,4.2,0,0,0,0,6.51,0,0,2.48,0,0,0,0,0,0,0,0,0.81,0
 84-94,37.07,2.04,7.56,0,0,0,0,4.68,0,1.02,5.08,0,0,0,0,0,0,0,1.23,0,0
 96-106,25.16,0,8.47,1.49,0,0,2.11,1.79,0,0,3.22,0,0,0,0,0,0,1.44,0,0,0
108-118,24.31,0.95,13.18,10.55,0,0,1.06,7.14,0.43,1.55,3.09,0.98,0,0,0,0,0,0,0.57,0,3.61
120,32.38,0,2.77,0,13.23,0,0,21.43,0,1.67,7.43,0,0,0,0,0,0,0,0,0,0
