stage,axial,blastomeres,epidermis,eye,glial,gut,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature
  3-4,0,58.94,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0
  5-6,7.08,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,12.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.11,0,0,0,11.36,0,0
 14-21,0,0,0.91,0,0,0,0.84,0,0.82,2.44,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0.73
 36-46,0,0,0,0,0,0,0,0,0,6.22,0.63,0.71,0,0,0.7,0
 48-58,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0
 60-70,0,0,0,8.15,0,0,0,0,0,11.78,0,1.01,0,0,15.46,0
 72-82,0,0,0.69,6.87,0,0,0,0,0,9.86,1.31,0,0,0,1.18,0
 84-94,0,0,0,6.78,1.77,0,0,0,0,1.91,1.89,0.71,0,0,3.66,0
 96-106,0,0,0,0,0,0.57,0,0,0,3.33,0,0,0,0,0,0
108-118,0,0,0,0.5,0,0,0,9.16,0,6.94,2.3,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.81,3.09,0,0,0,0,0
