stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,120.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,161.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.81,10.41,0,0,11.07,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.48,0,0,0,17.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.88,6.25,0,0,30.34,0,0,0,0,0,0,0,0,0,0
 10-12,46.52,0,36.35,0,0,0,47.64,0,0,0,0,0,48.24,0,0,0,0,0,0,0,0,0,0,395.88,16.17,0,0,110.72,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,9.09,7.79,0,10.98,0,0,0,0,0,3.11,0,0,0,0,0,0,7.69,0.95,0,7.16,85.97,4.16,0.85,0,1,0,14.4,0.85,1.8,16.34,15.85,0,0.95,0,0
 24-34,0,0.6,0.64,0,1.27,0,9.11,0,3.43,0,0,0,0,0,0,0.69,0,0,0.65,12.46,0,0,2.25,159.66,2.81,0,0.64,0,3.92,0,0,0,5.22,30.57,0,3.46,0,1.18
 36-46,0,0,0,0.64,0,0,17.94,0,0,0,7.81,0,0,0,0,0,0.56,0,0,12.79,0,0.72,4.22,95.09,1.55,0.9,0.61,0,0.77,0,0.56,0.58,0,17.67,0,1.21,0,0
 48-58,0,0,0,0.43,0,0,32.13,2.22,0,0,13.06,0,0,0,0,0,0,0.45,0,27.01,0,0.39,1.82,70.26,1.24,0,0.51,0,0.38,0,0,0,0,17.27,1.05,0,0,1.41
 60-70,0,0,0,5.22,0,0,50.7,4.01,1.01,0,17.81,0,0,0,0.92,0,0,0.73,0,37.57,0,1.58,2.07,134.76,0,1.56,1.67,0,0,0,0,0,0,14.28,0,0.58,0,3.65
 72-82,0,0,0,0.5,1.47,0,46.66,0,0,0.51,9.37,0,0,0,0,0,0,0,0,25.95,0,0,2.79,65.58,0,1.45,0.83,0,0.57,0,0,0,0,15.39,0.5,1.26,0,0
 84-94,0,0.56,0,1.37,4.49,0,33.89,0,0,3.54,5.73,1.52,0,0,1.53,0,0.63,1.82,0,34.71,0.58,0,2.19,59.51,5.61,0,2.23,0,3.37,0,0,0,0,7.52,0,2.99,0.68,0
 96-106,0,0,0,2.65,3.32,0,13.96,0,0,0,12.29,1.61,0,0,0,0,0,0,0,16.7,2.07,1.11,2.98,54.77,0,0,0,0,4.42,0,0,0,0,0,0,2.24,0,3.81
108-118,0,0,0,6.62,1.19,6.97,17.98,0,0,1.17,8.71,3.42,0,0.68,0.88,1.35,1.37,1.53,2.28,29.8,2.77,0,10.22,62.8,0.59,1.19,3.2,0,5.47,0,0,0,0,5.69,1.77,5.19,0,0
120,0,0,0,1.89,1.1,0,37.68,0,0,0,2.35,1.14,0,0,0,3.69,1.11,0,0,28.09,0,19.96,1.11,70.03,0,3.86,3.98,0,0,0,0,0,0,0,2.09,0,0,0
