stage,erythrocytes,eye,glial,heart,immune,iridophores,mesenchyme,muscle,neural,otic,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,2.11,0,0,0,0,0,0,0,0,0,1.42,0,0,0
 24-34,0,0,0,0,0.69,0,1.13,0,8.88,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.18,0,0,0,5.1,0,0,0
 48-58,0,0,0,0.87,2.48,0.62,1.47,0,0,0,2.52,0,0,0
 60-70,0,0,0,0,1.57,1.14,9.92,0.6,0,0,0,0.79,0.72,0
 72-82,0,0,0.92,0.98,1.06,0,5.58,0,0,0,0,0,1.6,0
 84-94,0,1.56,0,0,7.44,1.87,12.69,3.02,0,1.1,0,0,1.44,0
 96-106,1.01,0,0,0,6.81,0,23.87,0,1.34,0,0,0,1.68,0
108-118,0,0,0,0.78,7.21,0.59,21.42,0.54,1.77,2.83,0,0,1.11,1.44
120,0,0,0,0,10.74,0,7.25,0,0,0,0,0,2.87,0
