stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.12,92.65,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.41,0,0,0,0,0,0,0,0,88.68,3.59,11.11,0,0,0
 10-12,0,0,0,0,3.76,0,0,0,0,11.7,0,11.17,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0
 36-46,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,5.62,0,0,0,1.61,1.55
 60-70,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,5.73
 72-82,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,34.65
 84-94,0,0,0,0,4.38,0,0,0,0,11.87,0,0,0,0,104.81
 96-106,0,0,0,0,15.07,0,2.76,1.06,0,1.88,0,0,0,0,189.16
108-118,0,0,1.84,0.48,14.37,0,0,0,1.02,13.38,0,0,0.54,0,468.71
120,0,0,0,0,4.72,0,0,0,0,3.32,0,0,0,0,199.24
