stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,137.87,3966.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.37,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.53,1181.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.49,12.13,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,47.28,10.89,0,74.81,0,0,0,288.75,0,0,0,0,78.06,0,0,0,0,0,0,0,0,0,0,0,1519.86,105.2,0,0,549.55,0,11.5,20.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,52.04,0,121.85,0,16.88,0,274.49,0,0,0,0,32.61,0,0,0,0,0,0,0,0,0,0,0,2118.59,135.66,0,0,651.51,0,10.81,14.05,0,65.01,0,12.51,5.32,0,0,0,0,0
 14-21,0,0,3.47,6.07,77.55,42.67,0,21.92,0.83,0,19.5,5.17,1.19,3,0,7.45,0,0,0,1.37,36.71,1.15,0,27.21,509.52,13.09,1.44,3.85,12,0,24.39,1.16,52.59,7.26,11.04,50.9,166.19,0,0,12.65,0,0
 24-34,0,0,5.56,2.09,38.81,5.18,0,91.61,0.71,0.74,12.89,3.1,1.41,7.58,0,8.23,0,4.76,2.71,2.86,102.54,0.77,0,35.47,1478.02,7.63,18.16,26,0,2.75,23.23,0,0.93,6.86,0,15.61,325.17,0,0,46.26,0,2.7
 36-46,0,0,0.94,0.56,18.75,12.93,0,211.58,1.52,1.9,67.67,0,0,0.6,11.5,9.53,1.49,1.78,0,2.29,100.8,1.61,3.55,20.5,2188.94,2.73,23.63,4.83,0,0,43.11,0,0,6.47,5.55,0,474.44,0,0,36.71,0,2.45
 48-58,0,0,0,0.51,37.66,2.86,0,421.43,3.31,3.12,108.13,1.03,0,0.5,0.93,10.89,0.82,1.95,10.37,1.04,147.64,1.42,1.68,27.97,2257.13,2.32,5.71,18.97,0,1.04,39.93,0.98,0,0.74,0,0,368.18,0,1.28,38.43,0,14.23
 60-70,0,0,0.57,0,32.23,14.74,0,631.49,7.56,2.09,67.9,0,0,1.58,4.82,3.55,1.77,4.06,0,1.56,133.12,0,12.92,18.75,1952.58,0.7,5.45,25.84,0,0,34.21,0,0,5.02,0,0,293.25,1.72,2.16,19.82,1.92,2.33
 72-82,0,0,5.1,0.56,35.84,17.35,0,515.96,0,4.26,110.73,6.56,0,3.44,10.74,4.05,4.17,9.14,0,0,162.32,1.38,5.01,12.93,1595.72,0,16.94,7.14,0,1.6,20.25,0,0,3.53,0,0,171.41,1.86,1.02,46.42,4.94,21.49
 84-94,0,0,3.92,1.04,43.98,27.61,0.6,369.19,7.2,1.95,76.3,8.26,0,1.45,4.25,7.84,1.29,1.74,4.14,10.65,137.26,1.19,5.44,10.68,889.73,0.68,3.52,16.98,0,0,75.29,0,0,4.36,0,0,82.63,4.07,2.7,21.9,2.14,2.98
 96-106,0,0,0,0,35,34.98,0,292.09,0.66,3.04,80.37,6.8,0,5.21,14.1,6.42,1.9,3.86,1.99,1.93,108.73,2.53,9.33,11.3,870.13,0,18.43,18.72,0,7.77,71.32,0,0,2.19,0,0,50.41,1.89,7.46,26.7,13.25,7.04
108-118,0,0,2.43,0.74,45.49,13.34,0.56,305.76,10.61,3.8,93.34,16.15,0,2.12,17.58,8.71,10.64,5.64,2.66,0.58,107.99,6.65,8.5,9.43,851.43,0,7.22,16.2,0,3.95,57.69,0,0,1.65,0.46,0,36.68,3.13,0,14.67,14.81,5.92
120,0,0,6.25,0,34.41,10.69,3.82,212.99,11.1,14.8,125.82,15.77,0,0,30.71,0,0,0,17.94,0,113.74,0,37.05,9.9,979.68,0,9.83,35.59,0,0,60.84,2.5,0,7.73,0,0,29.57,11.73,14.98,9.68,1.05,3.6
