stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,10.72,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.61,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,18.38,0,1.31,0,0,0,0.67,3.22,0,0,0
 36-46,0,0,0,0,0,3.49,3.91,0,0,0,7.77,0,0,0,4.57,0,0,70.41,0,1.47,0,0,0,18.13,6.33,0,5.82,0
 48-58,0,0,0,0,0,16.29,5.07,0,1.68,0,8.24,0,0,0,0,0,0,72.79,0,0,0,0,0,3.39,3.04,0,0,0
 60-70,0,0,0,0,0,14.27,8.82,0.98,1.87,0,2.57,0,0,0,7.35,0,1.34,175.42,0,0,0.91,0,0,4.25,18.08,2.97,0,0
 72-82,0,0,4.68,0,0,24.28,1,0,12.45,0.65,4.27,0,0,0,11.38,1.46,3.06,305.64,0,0,0,0,0,0,34.48,2.29,0,8.23
 84-94,0,0,0,0,0,28.79,6.51,0,10.82,0,0.88,0,0,0,9.44,0,5.87,367.41,0,0.93,0,0,3,2.46,21.35,0.74,0,4.81
 96-106,0,0,2,0,0,53.35,6.28,0,7.03,0,0,0.69,0.57,7.94,10.04,3.9,0.61,273.89,0.62,0,0.62,0,1.87,1.24,13.66,0,2.1,0
108-118,0,0.57,5.5,6.76,0.5,34.99,3.4,0.74,4.2,1.05,0,0,1.82,0,21.69,0,2.48,383.38,0,0,0,0,0,3.29,14.72,1.35,0,0
120,0,0,6.77,3.66,0,133.08,9.29,0,23.11,0,0,0,0,0,19.35,0,2.36,612.75,0,9.85,1.47,6.17,2.57,2.74,5.85,0,3.6,0
