stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,72.12,853.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.88,0,0,0,0,0,0,0,0,0,0
  5-6,14.02,260.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.55,0,0,0,13.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.03,0,0,23.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.66,0,0,30.7,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.73,0,0,0,0,0,0,0.85,0,0,4.96,0,0,3.37,0,2.95,1.03,0,2.77,6.29,0,0,0,0,0,0.91,6.19,1.69,10.31,4.25,0,0,1.98,0,1.71
 24-34,0,0,0.76,1.16,0,4.9,0,0.64,0,0,0,0,0,14.74,4.16,0,3.51,0,11.16,0,0,2.95,17.92,0,0,0,0,0.83,0,0,0,8.31,2.85,0,0,3.09,0,0
 36-46,0,0,0,0,0,25.17,0,0,1.8,0,0.59,0.56,0,3.25,12.51,0,5.06,1.37,29.66,0.84,0,3.32,79.96,1.97,0,0,0,1.78,0,0,0,0,15.4,0,0,5.61,0,0
 48-58,0,0,0,1.25,0,48.23,0.97,0.92,0,0,0,0,0,0.74,19.76,2.61,1.98,0,50.28,0,0.52,3.4,132.88,0,0,0,0,2.68,0,0,2.26,0,6.95,0,0,2.23,0,7.8
 60-70,0,0,0,2.5,0,77.37,0.68,0,0.75,0,0,1.17,0,0,21.69,0,0,10.96,131.98,0.76,0.68,8.47,185.36,0,0,0,1.08,7.29,0,0,0,0,26.4,0,4.49,1.97,0.9,0
 72-82,0,0,0,1.65,0,52.82,0,0,2.2,7.83,0,1.99,1.51,1.19,24.38,5.62,0,0,238.64,0,1.5,10.44,208.22,0,0,0,0.89,12.47,0,0,0,0,44.3,0,6.5,8.19,0,0
 84-94,0,0,0,3.81,0,34.42,0.76,0.67,0,0.75,0,2.27,1,1.61,15.47,0.67,3.3,0,106.61,0,2.04,13.57,123.04,0,0.81,0,0,21.67,0,0,1.46,0,4.91,0,12.82,8.63,1.89,0
 96-106,0,0,0,7.88,2.82,27.94,0.96,2.2,0.76,12.36,0.64,4.42,0.74,1.89,20.72,0,11.89,7.1,153.72,2.04,14.93,20.31,105.41,1.52,0,0,5.31,64.21,0,0,6.96,0,15.62,2.6,8.65,7.4,9.74,0
108-118,0,0,0,5.53,4.05,16.43,8.56,3.06,1.15,25.42,2.17,2.71,10.89,0.81,42.1,2.79,9.8,3.66,165.7,1.26,4.11,21.81,187.61,3.24,0,0,1.32,36.2,0,0,0.46,0,3.71,0,7.03,10.97,3.01,5.34
120,0,0,0,3.82,0,50.54,2.11,0,1.04,13.54,1.17,0,0,2.77,4.78,0,11.41,0,157.88,4.63,41.27,36.64,137.22,0,0,0,0,37.42,0,0,0,0,4.78,0,20.83,18.44,1.93,0
