stage,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,10.41,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.21,0,0,0,0,0,0,0,0,0,0,0,21.93,0,0,7.68,0,0,0,0,0,0,0,0
 14-21,0,1.09,8.13,0.86,0,0,0,1.13,0.85,0,5.52,0,3.65,24.72,1.89,0,1.03,0,0.92,0,4.89,8.11,0,0,0
 24-34,0,0.6,0.71,1.96,0,0,0,0,1.96,0,7.66,0,4.82,23.97,0,0,0,0,0,0,0.72,2.12,0,0,0
 36-46,0,0,0,3.9,0,0.63,0,2.35,3.23,0,17.4,0,1.22,29.81,0,0.68,0,0,0,0,0,4.26,0,0,0
 48-58,0,0,0,2.67,0,0.85,0,0.42,0,0,14.08,4.62,0.86,16.52,0,0,0,0,0,0,0,3.23,0,5.01,0
 60-70,0,0,0.92,2.84,0.75,2.07,0,0,7.42,0,28.97,0,3.63,40.12,0,0,0,1.53,0,0,0,6.04,2.76,5.78,0
 72-82,0,0,0,12.33,0.61,8.9,0,4.93,1.15,2.86,58.93,0,1.21,24.61,0,0,0,2.41,0,0,0,7.95,1.21,12.14,2.08
 84-94,0,0,0.77,2.54,1.74,1.71,0,0.6,0.87,7.05,61.06,0,2.43,36.68,0,0,0,0,0,0,0,0,3.43,6.22,0
 96-106,1.05,0,0,21.78,0,1.7,0.63,0.96,0,1.27,67.2,0,2.25,58.4,0,0,0,2.48,0,1.33,0,5.59,3.98,12.84,6.76
108-118,0,0,2.45,6.56,0,6.77,0,1.9,5.6,1.87,109.43,1.04,1.18,41.63,0,0,0,8.18,0,0,0,3.87,7.86,16.48,1.11
120,0,0,0,26.11,0,19.21,0,4.72,5.93,0,83.8,12.41,4.71,21.96,0,0,0,0,0,0,0,0,4.08,15.35,21.34
